model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
cnn,gwo,1,1,0.6444071192002516,0.6444071192002516
cnn,gwo,1,2,0.6509680144863107,0.6476875668432811
cnn,gwo,1,3,0.6509680144863107,0.5489967927862098
cnn,gwo,1,4,0.6509680144863107,0.5732719268733211
cnn,gwo,1,5,0.6509680144863107,0.5529041767307646
cnn,gwo,1,6,0.6509680144863107,0.5506787043421446
cnn,gwo,1,7,0.6527391676848372,0.5652587705339578
cnn,gwo,1,8,0.6527391676848372,0.5542131522607254
cnn,gwo,1,9,0.653624821478556,0.5652588932849288
cnn,gwo,1,10,0.653624821478556,0.5614384771689266
cnn,gwo,1,11,0.653624821478556,0.5696157669541809
cnn,gwo,1,12,0.653624821478556,0.5607567779614341
cnn,gwo,1,13,0.653624821478556,0.5677630861369412
cnn,gwo,1,14,0.653624821478556,0.5738475672315794
cnn,gwo,1,15,0.653624821478556,0.5785013503560106
cnn,gwo,1,16,0.653624821478556,0.5826933439430761
cnn,gwo,1,17,0.653624821478556,0.5866717308117686
cnn,gwo,1,18,0.653624821478556,0.5902974483131039
cnn,gwo,1,19,0.653624821478556,0.5935384120374929
cnn,gwo,1,20,0.653624821478556,0.5922428997960496
cnn,gwo,1,21,0.653624821478556,0.5942781913523497
cnn,gwo,1,22,0.653624821478556,0.59694859558646
cnn,gwo,1,23,0.653639544997677,0.5994134194739041
cnn,gwo,1,24,0.653639544997677,0.5997999647348049
cnn,gwo,1,25,0.653639544997677,0.5975427876734951
cnn,gwo,1,26,0.653639544997677,0.5927003660806947
cnn,gwo,1,27,0.653639544997677,0.5949136357646393
cnn,gwo,1,28,0.653639544997677,0.5862054264158382
cnn,gwo,1,29,0.653639544997677,0.5884897759212365
cnn,gwo,1,30,0.653639544997677,0.5812502595038999
cnn,gwo,1,31,0.653639544997677,0.5754654964475677
cnn,gwo,1,32,0.653639544997677,0.5739934551129349
cnn,gwo,1,33,0.653639544997677,0.5763363016472369
cnn,gwo,1,34,0.653639544997677,0.5719575331726613
cnn,gwo,1,35,0.653639544997677,0.5707167443668226
cnn,gwo,1,36,0.653639544997677,0.5695401729605031
cnn,gwo,1,37,0.653639544997677,0.5680117480819576
cnn,gwo,1,38,0.653639544997677,0.5702307357343599
cnn,gwo,1,39,0.653639544997677,0.5722655330999894
cnn,gwo,1,40,0.653639544997677,0.5739222127981579
cnn,gwo,1,41,0.653639544997677,0.5749903650883615
cnn,gwo,1,42,0.653639544997677,0.5768202635109463
cnn,gwo,1,43,0.653639544997677,0.5780184345158139
cnn,gwo,1,44,0.653639544997677,0.5797127758500721
cnn,gwo,1,45,0.653639544997677,0.5813326316840025
cnn,gwo,1,46,0.653639544997677,0.5820407854911648
cnn,gwo,1,47,0.653639544997677,0.5834613103405828
cnn,gwo,1,48,0.653639544997677,0.5848959878999551
cnn,gwo,1,49,0.653639544997677,0.5862609632212585
cnn,gwo,1,50,0.653639544997677,0.5876020456003653
cnn,gwo,1,51,0.653639544997677,0.5888887950127406
cnn,gwo,1,52,0.653639544997677,0.5901173951162234
cnn,gwo,1,53,0.653639544997677,0.5912737345414153
cnn,gwo,1,54,0.653639544997677,0.591214016428718
cnn,gwo,1,55,0.653639544997677,0.5901202135302688
cnn,gwo,1,56,0.653639544997677,0.5912442088076345
cnn,gwo,1,57,0.653639544997677,0.5917282903657816
cnn,gwo,1,58,0.653639544997677,0.5927849119347547
cnn,gwo,1,59,0.653639544997677,0.5919451440756114
cnn,gwo,1,60,0.653639544997677,0.5929690804069938
cnn,gwo,1,61,0.6537870265457422,0.5939660959174652
cnn,gwo,1,62,0.6537870265457422,0.5949275001747066
cnn,gwo,1,63,0.6537870265457422,0.5958465509654252
cnn,gwo,1,64,0.6537870265457422,0.5967357290948486
cnn,gwo,1,65,0.6537870265457422,0.5976041321425455
cnn,gwo,1,66,0.6537870265457422,0.5984461093233288
cnn,gwo,1,67,0.6537870265457422,0.5992356331223726
cnn,gwo,1,68,0.654075165114327,0.6000420968281367
cnn,gwo,1,69,0.654075165114327,0.6007933100347886
cnn,gwo,1,70,0.654075165114327,0.6015487824127437
cnn,gwo,1,71,0.654075165114327,0.602260732923846
cnn,gwo,1,72,0.654075165114327,0.6029011446170021
cnn,gwo,1,73,0.654075165114327,0.6035577715197766
cnn,gwo,1,74,0.654075165114327,0.6042149057950481
cnn,gwo,1,75,0.654075165114327,0.6048691782000538
cnn,gwo,1,76,0.654075165114327,0.6054960359279862
cnn,gwo,1,77,0.654075165114327,0.6060436423511039
cnn,gwo,1,78,0.654075165114327,0.6066430607810219
cnn,gwo,1,79,0.654075165114327,0.6066182589719128
cnn,gwo,1,80,0.6542741232659616,0.6072139572755884
cnn,gwo,1,81,0.6542741232659616,0.6077185050339478
cnn,gwo,1,82,0.6542741232659616,0.6082656485522093
cnn,gwo,1,83,0.6542741232659616,0.6088062763453301
cnn,gwo,1,84,0.6542741232659616,0.6093277927073986
cnn,gwo,1,85,0.6542741232659616,0.609826707821641
cnn,gwo,1,86,0.6542741232659616,0.6103112749145719
cnn,gwo,1,87,0.6542741232659616,0.6107942866796648
cnn,gwo,1,88,0.6542741232659616,0.6112773062706769
cnn,gwo,1,89,0.6542741232659616,0.6117483963058034
cnn,gwo,1,90,0.6542741232659616,0.612219019156834
cnn,gwo,1,91,0.6542741232659616,0.6126662406597451
cnn,gwo,1,92,0.6542741232659616,0.6130903435473265
cnn,gwo,1,93,0.6542741232659616,0.6135187380838901
cnn,gwo,1,94,0.6542741232659616,0.6139380169046619
cnn,gwo,1,95,0.6542741232659616,0.6141764074700928
cnn,gwo,1,96,0.6542741232659616,0.6145884793311774
cnn,gwo,1,97,0.6542741232659616,0.6149731874759684
cnn,gwo,1,98,0.6542741232659616,0.6153468827413632
cnn,gwo,1,99,0.6542741232659616,0.6157210791516093
cnn,gwo,1,100,0.6542741232659616,0.6160760592356492
