model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
cnn,pso,1,1,0.6444071192002516,0.6444071192002516
cnn,pso,1,2,0.6509680144863107,0.6476875668432811
cnn,pso,1,3,0.6509680144863107,0.5489967927862098
cnn,pso,1,4,0.6509680144863107,0.5732719268733211
cnn,pso,1,5,0.6509680144863107,0.5529041767307646
cnn,pso,1,6,0.6509680144863107,0.5506787043421446
cnn,pso,1,7,0.6527391676848372,0.5652587705339578
cnn,pso,1,8,0.6527391676848372,0.5542131522607254
cnn,pso,1,9,0.653624821478556,0.5652588932849288
cnn,pso,1,10,0.653624821478556,0.5614384771689266
cnn,pso,1,11,0.653624821478556,0.5696707794398107
cnn,pso,1,12,0.653624821478556,0.5744979070893536
cnn,pso,1,13,0.653624821478556,0.5776492148266614
cnn,pso,1,14,0.653624821478556,0.5829769483864256
cnn,pso,1,15,0.653624821478556,0.5794854151604596
cnn,pso,1,16,0.653624821478556,0.5828368882718352
cnn,pso,1,17,0.6536324129553707,0.5870013309002785
cnn,pso,1,18,0.6536324129553707,0.5875621412722518
cnn,pso,1,19,0.6536324129553707,0.5910391244410047
cnn,pso,1,20,0.6536324129553707,0.5918730050309938
cnn,pso,1,21,0.6536324129553707,0.5943964393309228
cnn,pso,1,22,0.6536324129553707,0.5873164802643771
cnn,pso,1,23,0.6536324129553707,0.5901766653690479
cnn,pso,1,24,0.6536324129553707,0.5921269251377326
cnn,pso,1,25,0.6536324129553707,0.5945437362577642
cnn,pso,1,26,0.6536324129553707,0.5967414312777559
cnn,pso,1,27,0.6536324129553707,0.5988337328183593
cnn,pso,1,28,0.6536324129553707,0.6007805401497921
cnn,pso,1,29,0.6536324129553707,0.6023869653698973
cnn,pso,1,30,0.6539863583767219,0.6041069451367915
cnn,pso,1,31,0.6539863583767219,0.6056797750476367
cnn,pso,1,32,0.6539863583767219,0.6068185083941868
cnn,pso,1,33,0.6539863583767219,0.6081977421553106
cnn,pso,1,34,0.6539863583767219,0.6095286232113768
cnn,pso,1,35,0.6539863583767219,0.6106695953857102
cnn,pso,1,36,0.6539863583767219,0.6118541823713718
cnn,pso,1,37,0.6539863583767219,0.6129916929849634
cnn,pso,1,38,0.6539863583767219,0.6139784466972009
cnn,pso,1,39,0.6539863583767219,0.6149910470993151
cnn,pso,1,40,0.6539863583767219,0.6159327213254292
cnn,pso,1,41,0.6539863583767219,0.6168423170981818
cnn,pso,1,42,0.6539863583767219,0.6175149631133269
cnn,pso,1,43,0.6539863583767219,0.618355584576666
cnn,pso,1,44,0.6539863583767219,0.6189141251301228
cnn,pso,1,45,0.6539863583767219,0.6196746471975644
cnn,pso,1,46,0.6539863583767219,0.6203947248638313
cnn,pso,1,47,0.6539863583767219,0.6210736407036284
cnn,pso,1,48,0.6539863583767219,0.6217073588252963
cnn,pso,1,49,0.6539863583767219,0.6223480435766977
cnn,pso,1,50,0.6539863583767219,0.6229679705942264
cnn,pso,1,51,0.6539863583767219,0.6235703873950889
cnn,pso,1,52,0.6539863583767219,0.6241306162610567
cnn,pso,1,53,0.6539863583767219,0.624681679415969
cnn,pso,1,54,0.6539863583767219,0.6251949778319082
cnn,pso,1,55,0.6539863583767219,0.6257027570681964
cnn,pso,1,56,0.6539863583767219,0.6260403346038815
cnn,pso,1,57,0.6539863583767219,0.6265075701458966
cnn,pso,1,58,0.6539863583767219,0.6269440569688769
cnn,pso,1,59,0.6539863583767219,0.6273788870849611
cnn,pso,1,60,0.6539863583767219,0.6278032813190565
cnn,pso,1,61,0.6539863583767219,0.6282054117033653
cnn,pso,1,62,0.6539863583767219,0.6261333160988346
cnn,pso,1,63,0.6539863583767219,0.6265682821945356
cnn,pso,1,64,0.6539863583767219,0.6269343071004023
cnn,pso,1,65,0.6539863583767219,0.6273375514156425
cnn,pso,1,66,0.6539863583767219,0.6277220881209544
cnn,pso,1,67,0.6539863583767219,0.62810373960798
cnn,pso,1,68,0.6539863583767219,0.6284717751151344
cnn,pso,1,69,0.6539863583767219,0.6287859446403133
cnn,pso,1,70,0.6539863583767219,0.6291323512199991
cnn,pso,1,71,0.6539863583767219,0.6294573581436056
cnn,pso,1,72,0.6539863583767219,0.6297891232514513
cnn,pso,1,73,0.6539863583767219,0.6301196823871951
cnn,pso,1,74,0.6539863583767219,0.6304282437474317
