model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
svm,random_search,1,1,0.6208351947846765,0.6208351947846765
svm,random_search,1,2,0.6208351947846765,0.5375328522011946
svm,random_search,1,3,0.6520821457724123,0.5757159500582673
svm,random_search,1,4,0.6520821457724123,0.5903075274665199
svm,random_search,1,5,0.6530046971864305,0.6028469614105021
svm,random_search,1,6,0.6530046971864305,0.5733035753233451
svm,random_search,1,7,0.6530046971864305,0.5845355124519858
svm,random_search,1,8,0.6530046971864305,0.5927786815309194
svm,random_search,1,9,0.6530046971864305,0.5889428497355115
svm,random_search,1,10,0.6530046971864305,0.5770391262472809
svm,random_search,1,11,0.6530046971864305,0.5838820261436765
svm,random_search,1,12,0.6530046971864305,0.5893569149958487
svm,random_search,1,13,0.6530046971864305,0.5930822962703021
svm,random_search,1,14,0.6541778622336022,0.5974462652676806
svm,random_search,1,15,0.6541778622336022,0.6009420603711264
svm,random_search,1,16,0.6541778622336022,0.5965339174438261
svm,random_search,1,17,0.6541778622336022,0.5975527837132583
svm,random_search,1,18,0.6541778622336022,0.6004013829466982
svm,random_search,1,19,0.6541778622336022,0.602929939407658
svm,random_search,1,20,0.6541778622336022,0.6041481509695654
svm,random_search,1,21,0.6578734749170779,0.6067064997289708
svm,random_search,1,22,0.6578734749170779,0.6034787198068741
svm,random_search,1,23,0.6578734749170779,0.6017207776536256
svm,random_search,1,24,0.6578734749170779,0.6036072874067038
svm,random_search,1,25,0.6578734749170779,0.6005974028600083
svm,random_search,1,26,0.6596941014972649,0.6028703528075952
svm,random_search,1,27,0.6596941014972649,0.600134770840871
svm,random_search,1,28,0.6783388271934855,0.6029277728534643
svm,random_search,1,29,0.6783388271934855,0.6045420912121692
svm,random_search,1,30,0.6783388271934855,0.6060861771451475
svm,random_search,1,31,0.6783388271934855,0.6073104440184218
svm,random_search,1,32,0.6783388271934855,0.608762998687397
svm,random_search,1,33,0.6783388271934855,0.6099831229770644
svm,random_search,1,34,0.6783388271934855,0.6110882754427532
svm,random_search,1,35,0.6783388271934855,0.612094017734824
svm,random_search,1,36,0.6783388271934855,0.6132279627961492
svm,random_search,1,37,0.6783388271934855,0.6141316813469833
svm,random_search,1,38,0.6783388271934855,0.6149105445814694
svm,random_search,1,39,0.6783388271934855,0.6158634729022134
svm,random_search,1,40,0.6783388271934855,0.6168508559600991
svm,random_search,1,41,0.6783388271934855,0.61756075555737
svm,random_search,1,42,0.6783388271934855,0.6184938702066756
svm,random_search,1,43,0.6783388271934855,0.61913563909504
svm,random_search,1,44,0.6783388271934855,0.6158139872838357
svm,random_search,1,45,0.6783388271934855,0.6138705692050687
svm,random_search,1,46,0.6783388271934855,0.6120771059215329
svm,random_search,1,47,0.6783388271934855,0.612859037230759
svm,random_search,1,48,0.6783388271934855,0.612749413043341
svm,random_search,1,49,0.6783388271934855,0.613642142195635
svm,random_search,1,50,0.6783388271934855,0.6142558244871232
svm,random_search,1,51,0.6783388271934855,0.6150144477470371
svm,random_search,1,52,0.6783388271934855,0.6157338162565617
svm,random_search,1,53,0.6783388271934855,0.6164232523460008
svm,random_search,1,54,0.6783388271934855,0.6171572101714319
svm,random_search,1,55,0.6783388271934855,0.6146260356763054
svm,random_search,1,56,0.6783388271934855,0.6151948657430617
svm,random_search,1,57,0.6783388271934855,0.613936739238464
svm,random_search,1,58,0.6783388271934855,0.6145445452071188
svm,random_search,1,59,0.6783388271934855,0.6150541875697642
svm,random_search,1,60,0.6783388271934855,0.6153167245720741
svm,random_search,1,61,0.6783388271934855,0.6158263987855647
svm,random_search,1,62,0.6783388271934855,0.6135210446012509
svm,random_search,1,63,0.6783388271934855,0.6140972857803564
svm,random_search,1,64,0.6783388271934855,0.6146721206836252
svm,random_search,1,65,0.6783388271934855,0.6152491348715502
svm,random_search,1,66,0.6783388271934855,0.6157587917455256
svm,random_search,1,67,0.6783388271934855,0.6161024496306455
svm,random_search,1,68,0.6783388271934855,0.6150344943714499
svm,random_search,1,69,0.6783388271934855,0.6154243523523457
svm,random_search,1,70,0.6783388271934855,0.6158244792574604
svm,random_search,1,71,0.6783388271934855,0.6162703939976693
svm,random_search,1,72,0.6783388271934855,0.6142822380130352
svm,random_search,1,73,0.6783388271934855,0.6147692092646659
svm,random_search,1,74,0.6783388271934855,0.6128030148111467
svm,random_search,1,75,0.6783388271934855,0.6133289993679125
svm,random_search,1,76,0.6783388271934855,0.6114649592144245
svm,random_search,1,77,0.6783388271934855,0.6109121136266962
svm,random_search,1,78,0.6783388271934855,0.6088584585839845
svm,random_search,1,79,0.6783388271934855,0.6093256333020773
svm,random_search,1,80,0.6783388271934855,0.6098176587464043
svm,random_search,1,81,0.6783388271934855,0.6102456017480699
svm,random_search,1,82,0.6783388271934855,0.6108146222917615
svm,random_search,1,83,0.6783388271934855,0.6097032414232442
svm,random_search,1,84,0.6783388271934855,0.608163696607028
svm,random_search,1,85,0.6783388271934855,0.6086148371068989
svm,random_search,1,86,0.6783388271934855,0.6091158951374959
svm,random_search,1,87,0.6783388271934855,0.6091735056367631
svm,random_search,1,88,0.6783388271934855,0.6085621718621542
svm,random_search,1,89,0.6783388271934855,0.6078442793783274
svm,random_search,1,90,0.6783388271934855,0.6080978438633936
svm,random_search,1,91,0.6783388271934855,0.6065599406550171
svm,random_search,1,92,0.6783388271934855,0.606981514010799
svm,random_search,1,93,0.6783388271934855,0.607448694363236
svm,random_search,1,94,0.6783388271934855,0.606015695328072
svm,random_search,1,95,0.6783388271934855,0.6065534232155864
svm,random_search,1,96,0.6783388271934855,0.6070070815851972
svm,random_search,1,97,0.6783388271934855,0.6074297029149177
svm,random_search,1,98,0.6783388271934855,0.606883625856582
svm,random_search,1,99,0.6783388271934855,0.6062518487656325
svm,random_search,1,100,0.6783388271934855,0.6056026719315005
