model_type,optimizer,fitness_mode,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test
cnn,de,Accuracy-CV,0.6333554670208056,0.6330169364934791,0.2662076209416793,0.6439483330982781,0.6728505194009925
cnn,de,MCC/F1,0.6334661354581673,0.6335433579084876,0.2672364829019385,0.6363414467143019,0.6718735412407549
cnn,ga,Accuracy-CV,0.6364541832669323,0.6357202769648546,0.2725638355587263,0.65371076993903,0.6786443159939926
cnn,ga,MCC/F1,0.6337981407702523,0.6339032005040002,0.268270420954886,0.6359548754859087,0.6713602785233149
cnn,gwo,Accuracy-CV,0.6312527667109341,0.6309752800266408,0.26206253510897853,0.6407905452898026,0.6724359101591761
cnn,gwo,MCC/F1,0.5783532536520585,0.5759669253563692,0.138508644863577,0.6304284432008979,0.5632244542999904
cnn,pso,Accuracy-CV,0.6340194776449756,0.6338432144860352,0.2677168666922561,0.6416741159046945,0.6726799709185433
cnn,pso,MCC/F1,0.6346834882691456,0.6339659799884879,0.2690676470299502,0.6517077821470737,0.6705802397529399
cnn,random_search,Accuracy-CV,0.6343514829570607,0.633857696404588,0.26813093214724043,0.6476600116472658,0.6738228662877844
cnn,random_search,MCC/F1,0.5863213811420983,0.5892889672039678,0.17871058366092885,0.4302005025525106,0.5840312956465294
mlp,de,Accuracy-CV,0.6505090748118637,0.6503112142243316,0.30068794761853285,0.6582952242956535,0.694101521924669
mlp,de,MCC/F1,0.6512837538733952,0.6511266859121808,0.3022836069646482,0.6583468856113535,0.6940780715083322
mlp,ga,Accuracy-CV,0.6489597166888004,0.6486461611521431,0.29747572133783035,0.6587717880870775,0.6925988574721922
mlp,ga,MCC/F1,0.6455289951305887,0.64497753097256,0.29047699422591383,0.6595084029081505,0.6905946187543051
mlp,gwo,Accuracy-CV,0.6515050907481186,0.651382214586747,0.30276263957050914,0.6579753126751083,0.6948838395756284
mlp,gwo,MCC/F1,0.6525011066843737,0.6523125124511419,0.30466799293839375,0.6600995025421948,0.69429302140604
mlp,pso,Accuracy-CV,0.6495130588756086,0.6493084332548957,0.298685050141207,0.6574419372649284,0.6937381507398643
mlp,pso,MCC/F1,0.6496237273129704,0.6493786374793523,0.2988480309347601,0.6582491342577702,0.6930838179630189
mlp,random_search,Accuracy-CV,0.648406374501992,0.6480734270026766,0.2963422354115927,0.658565459641901,0.6929126078700775
mlp,random_search,MCC/F1,0.5531208499335989,0.5531725325788033,0.10633349205945869,0.5567717064870403,0.5651651784106204
rf,de,Accuracy-CV,0.6050243470562195,0.6042276175332661,0.20921307854146617,0.6248994710376325,0.6443200371678072
rf,de,MCC/F1,0.6460823373173971,0.6454223537601897,0.2917295392155801,0.6618303751714704,0.6866221623342206
rf,ga,Accuracy-CV,0.6081230633023461,0.6073786477710711,0.21544261410041057,0.6268955610541428,0.6421766397097147
rf,ga,MCC/F1,0.6465250110668438,0.6454302930860968,0.29291234240283975,0.6694296562184437,0.6860781714850289
rf,gwo,Accuracy-CV,0.6077910579902612,0.6069164760860888,0.21476815170223895,0.6289764113375828,0.6449195297860719
rf,gwo,MCC/F1,0.6443116423196105,0.643224630729455,0.2884363804083878,0.6672101794901687,0.6864413956452798
rf,pso,Accuracy-CV,0.603585657370518,0.6027862623197388,0.20632129332341057,0.6235779829760227,0.6399777404825493
rf,pso,MCC/F1,0.6466356795042053,0.6460206701820237,0.29286543193480913,0.6615704316836277,0.6871146210772929
rf,random_search,Accuracy-CV,0.6081230633023461,0.6072976372419076,0.2154272260361736,0.6283973729378052,0.6425264111232897
rf,random_search,MCC/F1,0.6404382470119522,0.6394158861500664,0.2805820291260706,0.6624556010014145,0.682189225011523
svm,de,Accuracy-CV,0.6103364320495794,0.6086804031707315,0.22048444829433697,0.6453673323127364,0.6516061329822387
svm,de,MCC/F1,0.5976095617529881,0.5932648051887905,0.18700833283179744,0.6746357658333623,0.5656591073992312
svm,ga,Accuracy-CV,0.6093404161133246,0.607792742426949,0.2184841235836187,0.6423586120118748,0.6457785942541334
svm,ga,MCC/F1,0.6440903054448871,0.6423636549421937,0.28984121981688793,0.676957956706255,0.6992759040723596
svm,gwo,Accuracy-CV,0.5637450199203187,0.5616432052234884,0.12653029104134658,0.6103252087551181,0.5900615077220971
svm,gwo,MCC/F1,0.6126604692341745,0.6135784526694881,0.2315902875884465,0.5918663088496402,0.6590040409698621
svm,pso,Accuracy-CV,0.5667330677290837,0.5648050417660001,0.1323188849789189,0.6100332226851369,0.5910684788913173
svm,pso,MCC/F1,0.6073483842408145,0.6115730377551704,0.2545363441703519,0.4720572981199025,0.6960020348198249
svm,random_search,Accuracy-CV,0.5944001770694998,0.5925890068270853,0.18866147198086822,0.6330809033101268,0.6243798320538522
svm,random_search,MCC/F1,0.5561088977423639,0.5538869983981675,0.10494421143510567,0.5927814513654268,0.4598272314467877
