model_type,optimizer,mcc_f1_accuracy_test_mean,mcc_f1_accuracy_test_std,accuracy_cv_accuracy_test_mean,accuracy_cv_accuracy_test_std,delta_accuracy_cv_minus_mcc_f1_accuracy_test_mean,winner_accuracy_test,mcc_f1_balanced_accuracy_test_mean,mcc_f1_balanced_accuracy_test_std,accuracy_cv_balanced_accuracy_test_mean,accuracy_cv_balanced_accuracy_test_std,delta_accuracy_cv_minus_mcc_f1_balanced_accuracy_test_mean,winner_balanced_accuracy_test,mcc_f1_mcc_test_mean,mcc_f1_mcc_test_std,accuracy_cv_mcc_test_mean,accuracy_cv_mcc_test_std,delta_accuracy_cv_minus_mcc_f1_mcc_test_mean,winner_mcc_test,mcc_f1_f1_test_mean,mcc_f1_f1_test_std,accuracy_cv_f1_test_mean,accuracy_cv_f1_test_std,delta_accuracy_cv_minus_mcc_f1_f1_test_mean,winner_f1_test,mcc_f1_auc_roc_test_mean,mcc_f1_auc_roc_test_std,accuracy_cv_auc_roc_test_mean,accuracy_cv_auc_roc_test_std,delta_accuracy_cv_minus_mcc_f1_auc_roc_test_mean,winner_auc_roc_test,mcc_f1_auc_pr_test_mean,mcc_f1_auc_pr_test_std,accuracy_cv_auc_pr_test_mean,accuracy_cv_auc_pr_test_std,delta_accuracy_cv_minus_mcc_f1_auc_pr_test_mean,winner_auc_pr_test,mcc_f1_best_validation_fitness_mean,mcc_f1_best_validation_fitness_std,accuracy_cv_best_validation_fitness_mean,accuracy_cv_best_validation_fitness_std,delta_accuracy_cv_minus_mcc_f1_best_validation_fitness_mean,winner_best_validation_fitness
cnn,de,0.6334661354581673,0.0043415328122915035,0.6333554670208056,0.002210600304940039,-0.00011066843736173837,MCC/F1,0.6335433579084876,0.004554928997401326,0.6330169364934791,0.002180765226498211,-0.0005264214150084712,MCC/F1,0.2672364829019385,0.00928337433431957,0.2662076209416793,0.004391673271713813,-0.0010288619602591975,MCC/F1,0.6363414467143019,0.007622359199608272,0.6439483330982781,0.003060296330936613,0.007606886383976219,Accuracy-CV,0.6718735412407549,0.0011010141825823472,0.6728505194009925,0.000441229186065406,0.0009769781602375627,Accuracy-CV,0.6486050795547716,0.000685707013953021,0.6480541629835538,0.0014981268105275026,-0.0005509165712178632,MCC/F1,0.4058836922859305,0.0007209576908373204,0.6548719370178911,0.00021994366169723756,0.24898824473196063,Accuracy-CV
cnn,ga,0.6337981407702523,0.0020733725094284174,0.6364541832669323,0.003369485911385196,0.0026560424966799445,Accuracy-CV,0.6339032005040002,0.0027170535150666487,0.6357202769648546,0.00318169552207049,0.0018170764608543832,Accuracy-CV,0.268270420954886,0.005741615895968539,0.2725638355587263,0.00694009495536029,0.0042934146038403065,Accuracy-CV,0.6359548754859087,0.012085847984458414,0.65371076993903,0.01057395018180063,0.017755894453121313,Accuracy-CV,0.6713602785233149,0.004944654985586718,0.6786443159939926,0.00222798264040175,0.007284037470677629,Accuracy-CV,0.6459684146736091,0.005280677892539448,0.6523148232884348,0.0034679216163299403,0.006346408614825716,Accuracy-CV,0.4036370785540371,0.0018028155103945755,0.6545496191600703,0.0001105922985263236,0.2509125406060332,Accuracy-CV
cnn,gwo,0.5783532536520585,0.09956340569385126,0.6312527667109341,0.001256951825099667,0.052899513058875636,Accuracy-CV,0.5759669253563692,0.10367788890798514,0.6309752800266408,0.0013592549035614102,0.05500835467027165,Accuracy-CV,0.138508644863577,0.23180495878520785,0.26206253510897853,0.0026170830722003695,0.12355389024540153,Accuracy-CV,0.6304284432008979,0.019509431134257776,0.6407905452898026,0.000900036168925542,0.010362102088904757,Accuracy-CV,0.5632244542999904,0.19563622007747447,0.6724359101591761,0.00030487741917769353,0.10921145585918579,Accuracy-CV,0.5686094997034762,0.14176924104566208,0.6480723048715057,0.0011541198826279873,0.0794628051680295,Accuracy-CV,0.4090367873762757,0.003924476087238845,0.6554917125249974,0.0005659582303028646,0.2464549251487217,Accuracy-CV
cnn,pso,0.6346834882691456,0.0006911241698094835,0.6340194776449756,0.0025357324562615413,-0.0006640106241699861,MCC/F1,0.6339659799884879,0.0008872623730931408,0.6338432144860352,0.0026028109032819797,-0.00012276550245271522,MCC/F1,0.2690676470299502,0.0011971863383200578,0.2677168666922561,0.005167791360190945,-0.0013507803376940908,MCC/F1,0.6517077821470737,0.010217625864865446,0.6416741159046945,0.0016114506020522062,-0.010033666242379224,MCC/F1,0.6705802397529399,0.0019557013706930112,0.6726799709185433,0.0005493098041832676,0.002099731165603358,Accuracy-CV,0.6444389904562232,0.0022034355381277113,0.6477148710562254,0.0007610472031232147,0.003275880600002168,Accuracy-CV,0.4096747420460542,0.003225353016414693,0.6551621899279235,0.0005095176917367484,0.24548744788186933,Accuracy-CV
cnn,random_search,0.5863213811420983,0.08314264198710358,0.6343514829570607,0.0008355283792907123,0.04803010181496237,Accuracy-CV,0.5892889672039678,0.07737675507421823,0.633857696404588,0.0007213104363912886,0.04456872920062016,Accuracy-CV,0.17871058366092885,0.15486998094812388,0.26813093214724043,0.0015900409688751165,0.08942034848631158,Accuracy-CV,0.4302005025525106,0.37257976238547,0.6476600116472658,0.004040796752529507,0.21745950909475525,Accuracy-CV,0.5840312956465294,0.15829478386400847,0.6738228662877844,0.001012994596070135,0.08979157064125498,Accuracy-CV,0.5829246484068376,0.11724629985455583,0.6461756748351263,0.0015833542645313332,0.06325102642828873,Accuracy-CV,0.4069062153925875,0.0017185528262519418,0.6551919081601186,0.0006910748263618792,0.24828569276753115,Accuracy-CV
mlp,de,0.6512837538733952,0.00019168335630464844,0.6505090748118637,0.0018878621192155824,-0.0007746790615315025,MCC/F1,0.6511266859121808,0.0001056991257499878,0.6503112142243316,0.0019831337974291533,-0.0008154716878492341,MCC/F1,0.3022836069646482,0.00025641018757267754,0.30068794761853285,0.00387796333990993,-0.0015956593461153301,MCC/F1,0.6583468856113535,0.0020145467846484416,0.6582952242956535,0.0015559218077844717,-5.166131570000232e-05,MCC/F1,0.6940780715083322,0.00019939960861990323,0.694101521924669,0.000878307884547679,2.34504163367788e-05,Accuracy-CV,0.673516388309464,0.0005481308828779521,0.6741719408829768,0.0005170121687101281,0.0006555525735127965,Accuracy-CV,0.4276843050742047,0.0011218254207955932,0.6605865699400997,0.0004621556150349204,0.232902264865895,Accuracy-CV
mlp,ga,0.6455289951305887,0.0011659643374117542,0.6489597166888004,0.0011659643374117542,0.003430721558211669,Accuracy-CV,0.64497753097256,0.001172980533334865,0.6486461611521431,0.001306168926909139,0.0036686301795830767,Accuracy-CV,0.29047699422591383,0.0023374002683358543,0.29747572133783035,0.0024392916235874275,0.006998727111916514,Accuracy-CV,0.6595084029081505,0.0011758942298466211,0.6587717880870775,0.0013121218553799351,-0.0007366148210730117,MCC/F1,0.6905946187543051,0.003505255716216485,0.6925988574721922,0.0007878926770934826,0.00200423871788713,Accuracy-CV,0.6691121031862387,0.003444098081825954,0.6727687158463801,0.002270058973556583,0.0036566126601413895,Accuracy-CV,0.4270756268028599,0.00350977144156026,0.6598559511972908,0.0005611962077386653,0.23278032439443092,Accuracy-CV
mlp,gwo,0.6525011066843737,0.0003833667126092969,0.6515050907481186,0.00106724776018071,-0.0009960159362550902,MCC/F1,0.6523125124511419,0.00040940625795646334,0.651382214586747,0.001032062204002513,-0.0009302978643948023,MCC/F1,0.30466799293839375,0.0007974801730651731,0.30276263957050914,0.0020862744423381136,-0.0019053533678846102,MCC/F1,0.6600995025421948,0.0001313707099820294,0.6579753126751083,0.001712360275700277,-0.0021241898670865123,MCC/F1,0.69429302140604,0.0003264762568509456,0.6948838395756284,0.000526598098154608,0.0005908181695883918,Accuracy-CV,0.6737571187842724,0.0008253452343362013,0.676393405317912,0.0004688336968409248,0.0026362865336396757,Accuracy-CV,0.42847391652679384,0.0007292525333505298,0.661791969839146,0.0010134640679797583,0.23331805331235217,Accuracy-CV
mlp,pso,0.6496237273129704,0.002975725909638926,0.6495130588756086,0.0035500254387661485,-0.00011066843736173837,MCC/F1,0.6493786374793523,0.003003965654375265,0.6493084332548957,0.0036753557197848046,-7.020422445658259e-05,MCC/F1,0.2988480309347601,0.005983792088520433,0.298685050141207,0.007236094894071315,-0.00016298079355309136,MCC/F1,0.6582491342577702,0.0024429682077448654,0.6574419372649284,0.0013112575056489317,-0.0008071969928418188,MCC/F1,0.6930838179630189,0.0011022913150470078,0.6937381507398643,0.0010048275244809912,0.0006543327768454565,Accuracy-CV,0.6734010935898617,0.0014311311775288085,0.6739299481454633,0.0008547181175138799,0.0005288545556015878,Accuracy-CV,0.4277597796291362,0.0011424309039538088,0.6609161586919933,0.00032574550270088044,0.23315637906285708,Accuracy-CV
mlp,random_search,0.5531208499335989,0.1529863762451105,0.648406374501992,0.0011501001378279388,0.09528552456839312,Accuracy-CV,0.5531725325788033,0.15306662848798516,0.6480734270026766,0.0011581991624397489,0.09490089442387328,Accuracy-CV,0.10633349205945869,0.30608378549556237,0.2963422354115927,0.0022979866706883006,0.19000874335213402,Accuracy-CV,0.5567717064870403,0.15115662191351356,0.658565459641901,0.0019634436265239916,0.10179375315486072,Accuracy-CV,0.5651651784106204,0.19176254140263602,0.6929126078700775,0.00044300047339814434,0.12774742945945705,Accuracy-CV,0.5701953005725037,0.13469978271073732,0.6734390483936555,0.0010846250121847678,0.10324374782115187,Accuracy-CV,0.43534220459962286,0.0008630571498769789,0.6608867765658523,0.000527909271967307,0.2255445719662294,Accuracy-CV
