model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness,source_file,fitness_mode,fitness_mode_label
cnn,de,1,0.2863312580011552,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 93, ""kernel_size"": 3, ""dense_neurons"": 194, ""learning_rate"": 1.5009218444976448e-05, ""l2_alpha"": 0.00010633995382351622, ""dropout_rate"": 0.07086179394000731, ""batch_size"": 32}",0.6314741035856574,0.6312222812770847,0.6368319381841597,0.644299674267101,0.6405440414507773,0.2625237764543131,0.6728640456599454,0.647830411757449,"[[913, 564], [546, 989]]",0.6546873940600375,0.3472314489715267,outputs/article_official_accuracy/metrics/cnn_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,de,1,0.3373892889994749,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 114, ""kernel_size"": 5, ""dense_neurons"": 205, ""learning_rate"": 1.8974118912948054e-06, ""l2_alpha"": 6.055406653739473e-05, ""dropout_rate"": 0.011109252463216798, ""batch_size"": 64}",0.6354581673306773,0.6351950317462768,0.6405144694533762,0.6488599348534202,0.6446601941747573,0.2704831358354316,0.6725449288658453,0.6479345852762133,"[[918, 559], [539, 996]]",0.4050826021422286,-0.0408664718041935,outputs/article_official/metrics/cnn_de_best_by_seed.csv,mcc_f1,MCC/F1
cnn,de,2,0.2322062610037392,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 11, ""kernel_size"": 5, ""dense_neurons"": 179, ""learning_rate"": 1.7583702375656955e-05, ""l2_alpha"": 1.773040432955558e-06, ""dropout_rate"": 0.07565476969025076, ""batch_size"": 64}",0.6357901726427623,0.6354440178281974,0.6396683673469388,0.6534201954397394,0.646471156944892,0.2710676156613248,0.673284829933023,0.6466804964457287,"[[912, 565], [532, 1003]]",0.6548131021208744,0.3466704638374747,outputs/article_official_accuracy/metrics/cnn_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,de,2,0.801283599999806,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 100, ""kernel_size"": 4, ""dense_neurons"": 169, ""learning_rate"": 5.374036950004956e-07, ""l2_alpha"": 1.4990515042731075e-05, ""dropout_rate"": 0.00039604665740276563, ""batch_size"": 16}",0.6364541832669323,0.6370420277038367,0.6547116736990155,0.606514657980456,0.6296922556645248,0.2744604991197602,0.6724728133221889,0.6485756046412492,"[[986, 491], [604, 931]]",0.4060880972848101,-0.0115837276091896,outputs/article_official/metrics/cnn_de_best_by_seed.csv,mcc_f1,MCC/F1
cnn,de,3,0.094862167003157,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 55, ""kernel_size"": 5, ""dense_neurons"": 55, ""learning_rate"": 0.0002097711810430681, ""l2_alpha"": 2.4188358610737406e-06, ""dropout_rate"": 0.09335424006278326, ""batch_size"": 80}",0.6328021248339973,0.6323845103751552,0.6358454718176061,0.654071661237785,0.6448298008991651,0.2650314707094002,0.6724026826100094,0.6496515807474837,"[[902, 575], [531, 1004]]",0.6551153148727613,0.351622621747143,outputs/article_official_accuracy/metrics/cnn_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,de,3,0.2161958430006052,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 34, ""kernel_size"": 5, ""dense_neurons"": 102, ""learning_rate"": 1.2222089704669597e-05, ""l2_alpha"": 9.81091509582248e-08, ""dropout_rate"": 0.09984131081858637, ""batch_size"": 128}",0.6284860557768924,0.6283930142753491,0.6361256544502618,0.6332247557003258,0.6346718903036239,0.2567658137506237,0.6706028815342306,0.6493050487468524,"[[921, 556], [563, 972]]",0.4064803774307528,-0.0171355241710465,outputs/article_official/metrics/cnn_de_best_by_seed.csv,mcc_f1,MCC/F1
cnn,ga,1,0.2138013939984375,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 23, ""kernel_size"": 3, ""dense_neurons"": 251, ""learning_rate"": 2.6222730928549346e-06, ""l2_alpha"": 2.3670024803446978e-08, ""dropout_rate"": 0.026231334044184953, ""batch_size"": 80}",0.6401062416998672,0.638949450753023,0.6330383480825958,0.6990228013029316,0.6643962848297214,0.280061576314151,0.6805093959716743,0.6503354722322414,"[[855, 622], [462, 1073]]",0.6546576921636319,0.3797619699919717,outputs/article_official_accuracy/metrics/cnn_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,ga,1,0.6031747790002555,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 48, ""kernel_size"": 3, ""dense_neurons"": 251, ""learning_rate"": 3.903203269948668e-06, ""l2_alpha"": 5.701843557378927e-06, ""dropout_rate"": 0.026231334044184953, ""batch_size"": 16}",0.6344621513944223,0.6343457444110454,0.641644908616188,0.6403908794788273,0.6410172807303554,0.2686817120547813,0.6755678272049823,0.6493803024940229,"[[928, 549], [552, 983]]",0.4050558481708901,0.0369879955286706,outputs/article_official/metrics/cnn_ga_best_by_seed.csv,mcc_f1,MCC/F1
cnn,ga,2,0.399304687998665,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 66, ""kernel_size"": 5, ""dense_neurons"": 36, ""learning_rate"": 0.0004164190976638412, ""l2_alpha"": 2.9062891981812066e-06, ""dropout_rate"": 0.06925181318299735, ""batch_size"": 32}",0.6334661354581673,0.6325882864067713,0.630526953361599,0.6781758957654723,0.6534839924670434,0.2663648976997494,0.6792463815419494,0.6563191476160217,"[[867, 610], [494, 1041]]",0.6544366689424059,0.5656799271643459,outputs/article_official_accuracy/metrics/cnn_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,ga,2,0.2978795929993794,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 84, ""kernel_size"": 3, ""dense_neurons"": 201, ""learning_rate"": 1.9830805093924477e-07, ""l2_alpha"": 4.0199588928172566e-08, ""dropout_rate"": 0.0038604129920968844, ""batch_size"": 80}",0.6354581673306773,0.636371816275177,0.6593727206418672,0.5889250814332248,0.6221610461114935,0.2737953323429853,0.6659140479755823,0.6398858481922363,"[[1010, 467], [631, 904]]",0.4042469599603073,-0.0184497875120188,outputs/article_official/metrics/cnn_ga_best_by_seed.csv,mcc_f1,MCC/F1
