model_label,optimizer_label,mcc_test_mean,mcc_test_std,accuracy_test_mean,accuracy_test_std
CNN,DE,0.2672364829019385,0.00928337433431957,0.6334661354581673,0.0043415328122915035
CNN,GA,0.268270420954886,0.005741615895968539,0.6337981407702523,0.0020733725094284174
CNN,GWO,0.138508644863577,0.23180495878520785,0.5783532536520585,0.09956340569385126
CNN,PSO,0.2690676470299502,0.0011971863383200578,0.6346834882691456,0.0006911241698094835
CNN,Random Search,0.17871058366092885,0.15486998094812388,0.5863213811420983,0.08314264198710358
MLP,DE,0.3022836069646482,0.00025641018757267754,0.6512837538733952,0.00019168335630464844
MLP,GA,0.29047699422591383,0.0023374002683358543,0.6455289951305887,0.0011659643374117542
MLP,GWO,0.30466799293839375,0.0007974801730651731,0.6525011066843737,0.0003833667126092969
MLP,PSO,0.2988480309347601,0.005983792088520433,0.6496237273129704,0.002975725909638926
MLP,Random Search,0.10633349205945869,0.30608378549556237,0.5531208499335989,0.1529863762451105
RF,DE,0.2917295392155801,0.005558782701212186,0.6460823373173971,0.002875250344569847
RF,GA,0.29291234240283975,0.0061261549237998205,0.6465250110668438,0.0031555062924708364
RF,GWO,0.2884363804083878,0.003828721098520232,0.6443116423196105,0.0018285426783818451
RF,PSO,0.29286543193480913,0.0013566495275802492,0.6466356795042053,0.0007667334252186419
RF,Random Search,0.2805820291260706,0.015969899112852844,0.6404382470119522,0.007849661631830596
SVM,DE,0.18700833283179744,0.1709981783363363,0.5976095617529881,0.07682964474671783
SVM,GA,0.28984121981688793,0.004794955592914124,0.6440903054448871,0.001756806979458558
SVM,GWO,0.2315902875884465,0.06578055654374618,0.6126604692341745,0.03569378800989405
SVM,PSO,0.2545363441703519,0.08396351168541807,0.6073483842408145,0.061114534081002404
SVM,Random Search,0.10494421143510567,0.22432660870191967,0.5561088977423639,0.09076505472557211
