model_type,optimizer,seed,candidate_id,fitness,mcc,f1,auc_roc,auc_pr,accuracy,precision,recall,train_time_seconds,eval_time_seconds,model_backend,official_experiment,cache_hit,cache_key,parallel_enabled,n_jobs,parallel_backend,fitness_formula,decoded_hyperparameters
cnn,random_search,1,1,0.15465624142833512,-0.1540136628541272,0.6176610978520286,0.3521118187838417,0.4283044344560108,0.4679508468947194,0.4980754426481909,0.8128140703517588,11.779712000003201,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:65-kernel_size:4-dense_neurons:197-learning_rate:7.327531200248025e-08-l2_alpha:0.004919224950758323-dropout_rate:0.031183145201048548-batch_size:128-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 65, ""kernel_size"": 4, ""dense_neurons"": 197, ""learning_rate"": 7.327531200248025e-08, ""l2_alpha"": 0.004919224950758323, ""dropout_rate"": 0.031183145201048548, ""batch_size"": 128, ""activation"": ""tanh"", ""optimizer"": ""adam""}"
cnn,random_search,1,2,0.3981897642124513,0.23833315132454957,0.6379746835443038,0.6558054543329757,0.6516307404144271,0.6200597808037197,0.6428571428571429,0.6331658291457286,12.209531699991203,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:41-kernel_size:5-dense_neurons:77-learning_rate:1.9840934620783557e-05-l2_alpha:1.4633717925197205e-08-dropout_rate:0.07535131086748066-batch_size:64-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 41, ""kernel_size"": 5, ""dense_neurons"": 77, ""learning_rate"": 1.9840934620783557e-05, ""l2_alpha"": 1.4633717925197205e-08, ""dropout_rate"": 0.07535131086748066, ""batch_size"": 64, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,3,0.27668911579404737,0.0,0.6917227894851184,0.5148989751435118,0.5426452447082015,0.5287279973430754,0.5287279973430754,1.0,12.200376799999503,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:106-kernel_size:3-dense_neurons:125-learning_rate:6.594304172115029e-07-l2_alpha:5.260019290542263e-06-dropout_rate:0.013404169724716475-batch_size:112-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 106, ""kernel_size"": 3, ""dense_neurons"": 125, ""learning_rate"": 6.594304172115029e-07, ""l2_alpha"": 5.260019290542263e-06, ""dropout_rate"": 0.013404169724716475, ""batch_size"": 112, ""activation"": ""relu"", ""optimizer"": ""adam""}"
cnn,random_search,1,4,0.3943170865351463,0.22691625976309235,0.6454183266932271,0.6563295689157557,0.6488833936554655,0.6157422783128529,0.63016157989228,0.6614321608040201,14.211736199998995,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:117-kernel_size:2-dense_neurons:137-learning_rate:0.0003178249854498514-l2_alpha:4.813406586620499e-07-dropout_rate:0.04851909744316351-batch_size:32-activation:relu-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 117, ""kernel_size"": 2, ""dense_neurons"": 137, ""learning_rate"": 0.0003178249854498514, ""l2_alpha"": 4.813406586620499e-07, ""dropout_rate"": 0.04851909744316351, ""batch_size"": 32, ""activation"": ""relu"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,5,0.39785239254335153,0.2374479145273099,0.6384591095674139,0.6545493942581123,0.6473868494755063,0.6197276652274992,0.6419047619047619,0.6350502512562815,11.817484399987734,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:98-kernel_size:5-dense_neurons:38-learning_rate:1.7675069627240862e-05-l2_alpha:4.585083237734067e-07-dropout_rate:0.016065200877512686-batch_size:112-activation:relu-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 98, ""kernel_size"": 5, ""dense_neurons"": 38, ""learning_rate"": 1.7675069627240862e-05, ""l2_alpha"": 4.585083237734067e-07, ""dropout_rate"": 0.016065200877512686, ""batch_size"": 112, ""activation"": ""relu"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,6,0.39061563774198854,0.22122022779098324,0.6447087526684965,0.6572963478420998,0.6535007500392677,0.6130853537030887,0.6265560165975104,0.6639447236180904,16.768130800002837,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:58-kernel_size:4-dense_neurons:86-learning_rate:5.507297447427016e-05-l2_alpha:0.00045719206695380994-dropout_rate:0.06130033010530405-batch_size:16-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 58, ""kernel_size"": 4, ""dense_neurons"": 86, ""learning_rate"": 5.507297447427016e-05, ""l2_alpha"": 0.00045719206695380994, ""dropout_rate"": 0.06130033010530405, ""batch_size"": 16, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,7,0.40012607983601145,0.23751938251501747,0.6440361258175024,0.6552397293019006,0.6474515262161408,0.6203918963799402,0.6386658431130328,0.6494974874371859,12.376514500007033,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:59-kernel_size:2-dense_neurons:189-learning_rate:5.701843557378927e-06-l2_alpha:2.366450774154052e-08-dropout_rate:0.0641328169139375-batch_size:80-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 59, ""kernel_size"": 2, ""dense_neurons"": 189, ""learning_rate"": 5.701843557378927e-06, ""l2_alpha"": 2.366450774154052e-08, ""dropout_rate"": 0.0641328169139375, ""batch_size"": 80, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,8,0.39751718301376815,0.23534417233686278,0.6407766990291263,0.6560597649983532,0.6509907187235283,0.6190634340750581,0.6389756402248594,0.6425879396984925,11.542845400006627,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:33-kernel_size:4-dense_neurons:209-learning_rate:0.001094684896692405-l2_alpha:1.1401849104675702e-05-dropout_rate:0.051088888446653304-batch_size:32-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 33, ""kernel_size"": 4, ""dense_neurons"": 209, ""learning_rate"": 0.001094684896692405, ""l2_alpha"": 1.1401849104675702e-05, ""dropout_rate"": 0.051088888446653304, ""batch_size"": 32, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,9,0.39197562986203055,0.222361328983591,0.6463970811796899,0.6550936500685245,0.646875518477689,0.6137495848555298,0.6263995285798468,0.667713567839196,11.395205599998008,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:14-kernel_size:2-dense_neurons:147-learning_rate:0.00012581181742105929-l2_alpha:0.0005279364518951344-dropout_rate:0.019161625902013524-batch_size:112-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 14, ""kernel_size"": 2, ""dense_neurons"": 147, ""learning_rate"": 0.00012581181742105929, ""l2_alpha"": 0.0005279364518951344, ""dropout_rate"": 0.019161625902013524, ""batch_size"": 112, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}"
cnn,random_search,1,10,0.3963499978010935,0.22861261581858064,0.6479560707748627,0.6561263859820596,0.6479160342159991,0.6167386250415144,0.6298932384341637,0.6670854271356784,16.407078100004583,0.0,tensorflow,False,False,random_search|cnn|1|auto|InfoGain_7|n_filters:51-kernel_size:2-dense_neurons:131-learning_rate:0.0013531995532062-l2_alpha:0.0014712991262701776-dropout_rate:0.08765370964165806-batch_size:16-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""n_filters"": 51, ""kernel_size"": 2, ""dense_neurons"": 131, ""learning_rate"": 0.0013531995532062, ""l2_alpha"": 0.0014712991262701776, ""dropout_rate"": 0.08765370964165806, ""batch_size"": 16, ""activation"": ""relu"", ""optimizer"": ""adam""}"
