model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
rf,ga,1,1,0.40189927244815565,0.40189927244815565
rf,ga,1,2,0.40189927244815565,0.3997680396807447
rf,ga,1,3,0.40189927244815565,0.39761845548994085
rf,ga,1,4,0.41165466837440046,0.40112750871105574
rf,ga,1,5,0.41165466837440046,0.40095019179619956
rf,ga,1,6,0.41165466837440046,0.40227529580446353
rf,ga,1,7,0.41165466837440046,0.4007777361189718
rf,ga,1,8,0.41165466837440046,0.4003756969120649
rf,ga,1,9,0.41165466837440046,0.4002340395590151
rf,ga,1,10,0.41165466837440046,0.39921891608128357
rf,ga,1,11,0.41165466837440046,0.40034943901702147
rf,ga,1,12,0.41165466837440046,0.4012332806260585
rf,ga,1,13,0.41165466837440046,0.4020349258374694
rf,ga,1,14,0.41165466837440046,0.40172077448574545
rf,ga,1,15,0.41165466837440046,0.4019537472727373
rf,ga,1,16,0.4117129661239742,0.40256369845093964
rf,ga,1,17,0.4117129661239742,0.40215562465521726
rf,ga,1,18,0.4117129661239742,0.40253035749913757
rf,ga,1,19,0.4117129661239742,0.4021259966713843
rf,ga,1,20,0.4117129661239742,0.4016579404596724
rf,ga,1,21,0.4117129661239742,0.4021367512055915
rf,ga,1,22,0.4117129661239742,0.4025720337018816
rf,ga,1,23,0.4117129661239742,0.4029669308615563
rf,ga,1,24,0.4117129661239742,0.4033313489974904
rf,ga,1,25,0.4117129661239742,0.4036642817725668
rf,ga,1,26,0.4130686100805243,0.40402598670748824
rf,ga,1,27,0.4130686100805243,0.4043085304729294
rf,ga,1,28,0.4130686100805243,0.40457089254083906
rf,ga,1,29,0.4130686100805243,0.4045524245163062
rf,ga,1,30,0.4130686100805243,0.40479110923656175
rf,ga,1,31,0.4130686100805243,0.4050581253928186
rf,ga,1,32,0.4130686100805243,0.40526608916566736
rf,ga,1,33,0.4130686100805243,0.4055025291933903
rf,ga,1,34,0.4130686100805243,0.40567051438621404
rf,ga,1,35,0.4130686100805243,0.4058818885489086
rf,ga,1,36,0.4130686100805243,0.40604386292599376
rf,ga,1,37,0.4130686100805243,0.4062337209571973
rf,ga,1,38,0.4130686100805243,0.40637791161948084
rf,ga,1,39,0.4130686100805243,0.4065147078888268
rf,ga,1,40,0.4130686100805243,0.40664466434470564
rf,ga,1,41,0.4130686100805243,0.4068013459480183
rf,ga,1,42,0.4130686100805243,0.40695056652260186
rf,ga,1,43,0.4130686100805243,0.4070928466053443
rf,ga,1,44,0.4130686100805243,0.4071978493216768
rf,ga,1,45,0.4130686100805243,0.4073283106718734
rf,ga,1,46,0.4130686100805243,0.4074530997894528
rf,ga,1,47,0.4130686100805243,0.40757257873181607
rf,ga,1,48,0.4130686100805243,0.40768707938491394
rf,ga,1,49,0.4130686100805243,0.40779690654196726
rf,ga,1,50,0.4130686100805243,0.4078752277336074
rf,ga,1,51,0.4130686100805243,0.40797705876001755
rf,ga,1,52,0.4130686100805243,0.4080749732084889
rf,ga,1,53,0.4130686100805243,0.4081691927721122
rf,ga,1,54,0.4130686100805243,0.408259922722268
rf,ga,1,55,0.4138092508663397,0.4083608195976148
rf,ga,1,56,0.4138092508663397,0.40844488728480943
rf,ga,1,57,0.4138092508663397,0.40852600522859395
rf,ga,1,58,0.4138092508663397,0.4086043260019031
rf,ga,1,59,0.4138092508663397,0.40867999183374415
rf,ga,1,60,0.4138092508663397,0.4087531354711905
rf,ga,1,61,0.4138092508663397,0.4088360226088159
rf,ga,1,62,0.4138092508663397,0.4089042901486822
rf,ga,1,63,0.4138092508663397,0.4089703904650607
rf,ga,1,64,0.4138092508663397,0.4090344251465522
rf,ga,1,65,0.4138092508663397,0.40909648953015176
rf,ga,1,66,0.4138092508663397,0.40915667317485443
rf,ga,1,67,0.4138092508663397,0.4092150602928495
rf,ga,1,68,0.4138092508663397,0.40927173014266827
rf,ga,1,69,0.4138092508663397,0.40932675738814445
rf,ga,1,70,0.4138092508663397,0.40938021242660705
rf,ga,1,71,0.4138092508663397,0.4094425932497019
rf,ga,1,72,0.4138092508663397,0.40949295459457424
rf,ga,1,73,0.4138092508663397,0.4095419361765736
rf,ga,1,74,0.4138092508663397,0.4095996025913001
rf,ga,1,75,0.4138092508663397,0.40965573123496735
rf,ga,1,76,0.4138092508663397,0.4097006375355668
rf,ga,1,77,0.4138092508663397,0.4097443774387481
rf,ga,1,78,0.4138092508663397,0.40979649120064027
rf,ga,1,79,0.4138092508663397,0.4098379104269679
rf,ga,1,80,0.4138092508663397,0.40988755218246
rf,ga,1,81,0.4138092508663397,0.4099359682155943
rf,ga,1,82,0.4138092508663397,0.4099832033698716
rf,ga,1,83,0.4138092508663397,0.41002930032766033
rf,ga,1,84,0.4138092508663397,0.410065482586623
rf,ga,1,85,0.4138092508663397,0.4101095269193255
rf,ga,1,86,0.4138092508663397,0.4101209741343674
rf,ga,1,87,0.4138092508663397,0.4101633681197923
rf,ga,1,88,0.4138092508663397,0.4102047986055488
rf,ga,1,89,0.4138092508663397,0.41024529806915316
rf,ga,1,90,0.4138092508663397,0.4102848975446774
rf,ga,1,91,0.4138092508663397,0.4103236267020583
rf,ga,1,92,0.4138092508663397,0.4103615139212352
rf,ga,1,93,0.4138092508663397,0.4103985863615051
rf,ga,1,94,0.4138092508663397,0.4104348700264501
rf,ga,1,95,0.4138092508663397,0.4104703898247647
rf,ga,1,96,0.4138092508663397,0.4105051696272814
rf,ga,1,97,0.4138092508663397,0.4105392323204675
rf,ga,1,98,0.4138092508663397,0.41057259985664984
rf,ga,1,99,0.4138092508663397,0.4105966345654516
rf,ga,1,100,0.4138092508663397,0.41062876072846044
