model_type,optimizer,seed,candidate_id,fitness,mcc,f1,auc_roc,auc_pr,accuracy,precision,recall,train_time_seconds,eval_time_seconds,model_backend,official_experiment,cache_hit,cache_key,parallel_enabled,n_jobs,parallel_backend,fitness_formula,decoded_hyperparameters,evaluation_id
mlp,pso,1,1,0.41263103337396,0.25603647037029514,0.6475228778794573,0.6676502668380662,0.6616025960642018,0.6290269013616738,0.6506024096385542,0.6444723618090452,5.200703700000304,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:258-learning_rate:0.005044082462406216-l2_alpha:7.327531200248025e-08-dropout_rate:0.09486494471372439-batch_size:64-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 258, ""learning_rate"": 0.005044082462406216, ""l2_alpha"": 7.327531200248025e-08, ""dropout_rate"": 0.09486494471372439, ""batch_size"": 64, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,2,0.3932121817455427,0.2326306911457765,0.634084417645192,0.655005781196327,0.6523800206104713,0.6170707406177349,0.640795381654907,0.6275125628140703,7.016471200004162,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:208-learning_rate:1.9840934620783557e-05-l2_alpha:1.4633717925197205e-08-dropout_rate:0.07535131086748066-batch_size:80-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 208, ""learning_rate"": 1.9840934620783557e-05, ""l2_alpha"": 1.4633717925197205e-08, ""dropout_rate"": 0.07535131086748066, ""batch_size"": 80, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,3,0.3968471491647999,0.23869965363623036,0.6340683924576542,0.6546620523335493,0.6517967058240852,0.6197276652274992,0.6454131424853611,0.6231155778894473,9.011091399996076,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:155-learning_rate:5.260019290542263e-06-l2_alpha:6.371624645952766e-08-dropout_rate:0.040311298644712924-batch_size:32-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 155, ""learning_rate"": 5.260019290542263e-06, ""l2_alpha"": 6.371624645952766e-08, ""dropout_rate"": 0.040311298644712924, ""batch_size"": 32, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,4,0.3942787202329334,0.23814522412069272,0.6284789644012945,0.6538982350087292,0.6474637383345097,0.6187313184988376,0.6481975967957276,0.6099246231155779,5.917347099995823,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:144-learning_rate:8.149779273673193e-06-l2_alpha:0.007663430070998622-dropout_rate:0.09616571936637869-batch_size:112-activation:relu-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 144, ""learning_rate"": 8.149779273673193e-06, ""l2_alpha"": 0.007663430070998622, ""dropout_rate"": 0.09616571936637869, ""batch_size"": 112, ""activation"": ""relu"", ""optimizer"": ""rmsprop""}",
mlp,pso,1,5,0.41084268568994614,0.24650937125480535,0.6573426573426573,0.6679875770678623,0.6617985816568772,0.6257057455994686,0.6370064820271066,0.6790201005025126,7.041500999999698,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:85-learning_rate:0.006600129841247203-l2_alpha:1.248566025610184e-05-dropout_rate:0.011586561247077033-batch_size:80-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 85, ""learning_rate"": 0.006600129841247203, ""l2_alpha"": 1.248566025610184e-05, ""dropout_rate"": 0.011586561247077033, ""batch_size"": 80, ""activation"": ""relu"", ""optimizer"": ""adam""}",
mlp,pso,1,6,0.02975917803432062,-0.05323270570795444,0.1542470036477332,0.4077407828430383,0.47454148675397045,0.4609764197940883,0.4525993883792049,0.09296482412060302,11.690647600000375,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:459-learning_rate:1.728053802450397e-08-l2_alpha:1.4843474801984847e-05-dropout_rate:0.045933588288540377-batch_size:16-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 459, ""learning_rate"": 1.728053802450397e-08, ""l2_alpha"": 1.4843474801984847e-05, ""dropout_rate"": 0.045933588288540377, ""batch_size"": 16, ""activation"": ""relu"", ""optimizer"": ""adam""}",
mlp,pso,1,7,0.058970808864811854,-0.03873771645061004,0.20553359683794467,0.5154427882895805,0.5214336625744849,0.4659581534373962,0.48148148148148145,0.1306532663316583,7.0115690999955405,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:299-learning_rate:3.63567192399217e-07-l2_alpha:0.001094684896692405-dropout_rate:0.05094958815215094-batch_size:80-activation:relu-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 299, ""learning_rate"": 3.63567192399217e-07, ""l2_alpha"": 0.001094684896692405, ""dropout_rate"": 0.05094958815215094, ""batch_size"": 80, ""activation"": ""relu"", ""optimizer"": ""rmsprop""}",
mlp,pso,1,8,0.4034549205278506,0.23618596520582041,0.6543583535108959,0.6640560537004969,0.6640836391304668,0.6207240119561608,0.6314252336448598,0.6790201005025126,6.619908699998632,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:411-learning_rate:0.00012581181742105929-l2_alpha:0.0005279364518951344-dropout_rate:0.019161625902013524-batch_size:112-activation:tanh-optimizer:rmsprop,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 411, ""learning_rate"": 0.00012581181742105929, ""l2_alpha"": 0.0005279364518951344, ""dropout_rate"": 0.019161625902013524, ""batch_size"": 112, ""activation"": ""tanh"", ""optimizer"": ""rmsprop""}",
mlp,pso,1,9,0.40282619103782313,0.23754370274490785,0.6507499234771962,0.6643887159546854,0.6628189902150627,0.6210561275323813,0.6346268656716418,0.667713567839196,9.331806100002723,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:428-learning_rate:0.0014712991262701776-l2_alpha:0.0018164463637997954-dropout_rate:0.047190971935879025-batch_size:32-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 428, ""learning_rate"": 0.0014712991262701776, ""l2_alpha"": 0.0018164463637997954, ""dropout_rate"": 0.047190971935879025, ""batch_size"": 32, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,10,0.407635295015091,0.243510405045539,0.653822629969419,0.671758191946342,0.6672660241187909,0.624045167718366,0.6370679380214541,0.6714824120603015,6.9581144000039785,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:361-learning_rate:0.0010313719100637885-l2_alpha:4.912097338001181e-07-dropout_rate:0.02152181671629736-batch_size:80-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 361, ""learning_rate"": 0.0010313719100637885, ""l2_alpha"": 4.912097338001181e-07, ""dropout_rate"": 0.02152181671629736, ""batch_size"": 80, ""activation"": ""relu"", ""optimizer"": ""adam""}",
mlp,pso,1,11,0.41263103337396,0.25603647037029514,0.6475228778794573,0.6676502668380662,0.6616025960642018,0.6290269013616738,0.6506024096385542,0.6444723618090452,5.200703700000304,0.0,tensorflow,False,True,pso|mlp|1|auto|InfoGain_7|hidden_neurons:258-learning_rate:0.005044082462406216-l2_alpha:7.327531200248025e-08-dropout_rate:0.09486494471372439-batch_size:64-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 258, ""learning_rate"": 0.005044082462406216, ""l2_alpha"": 7.327531200248025e-08, ""dropout_rate"": 0.09486494471372439, ""batch_size"": 64, ""activation"": ""tanh"", ""optimizer"": ""adam""}",11.0
mlp,pso,1,12,0.4079714983049314,0.24755374328080462,0.6485981308411215,0.6686336456772941,0.6644921339545956,0.6253736300232481,0.6433868974042027,0.6538944723618091,5.303188099998806,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:266-learning_rate:0.0015629465620581305-l2_alpha:2.0978109365601075e-08-dropout_rate:0.1-batch_size:64-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 266, ""learning_rate"": 0.0015629465620581305, ""l2_alpha"": 2.0978109365601075e-08, ""dropout_rate"": 0.1, ""batch_size"": 64, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,13,0.38799522347746374,0.23846803778637374,0.6122860020140987,0.6620299790000035,0.6632533380345635,0.616406509465294,0.6575342465753424,0.5728643216080402,6.332153499999549,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:174-learning_rate:0.01-l2_alpha:6.627561055517373e-08-dropout_rate:0.07242908479509515-batch_size:32-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 174, ""learning_rate"": 0.01, ""l2_alpha"": 6.627561055517373e-08, ""dropout_rate"": 0.07242908479509515, ""batch_size"": 32, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,14,0.40797665080242373,0.25552239727865095,0.6366580310880829,0.6677910340993197,0.6613392627207255,0.6273663234805712,0.6570855614973262,0.617462311557789,3.957973199998378,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:311-learning_rate:0.0033837624082244037-l2_alpha:4.591973173209071e-08-dropout_rate:0.09514813937699027-batch_size:80-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 311, ""learning_rate"": 0.0033837624082244037, ""l2_alpha"": 4.591973173209071e-08, ""dropout_rate"": 0.09514813937699027, ""batch_size"": 80, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
mlp,pso,1,15,0.4083125419286816,0.24408324418139044,0.6546564885496183,0.6636667304103322,0.6555004867236353,0.6243772832945865,0.6369578134284016,0.6733668341708543,4.044401799998013,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:137-learning_rate:0.0044305796759932835-l2_alpha:3.6159692219985946e-08-dropout_rate:0.05653027169318412-batch_size:64-activation:relu-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 137, ""learning_rate"": 0.0044305796759932835, ""l2_alpha"": 3.6159692219985946e-08, ""dropout_rate"": 0.05653027169318412, ""batch_size"": 64, ""activation"": ""relu"", ""optimizer"": ""adam""}",
mlp,pso,1,16,0.3808976731426385,0.2203105548940882,0.6217783505154639,0.6564138964732047,0.6587736124768678,0.6100963135171039,0.6382275132275133,0.6061557788944724,7.984877000002598,0.0,tensorflow,False,False,pso|mlp|1|auto|InfoGain_7|hidden_neurons:307-learning_rate:2.3694537294182685e-08-l2_alpha:2.909669748793938e-07-dropout_rate:0.1-batch_size:32-activation:tanh-optimizer:adam,True,-1,loky,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 307, ""learning_rate"": 2.3694537294182685e-08, ""l2_alpha"": 2.909669748793938e-07, ""dropout_rate"": 0.1, ""batch_size"": 32, ""activation"": ""tanh"", ""optimizer"": ""adam""}",
