model,optimizer,total_trades,total_profit_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
mlp,ga,4898,41745.0,0.48407513270722746,1.4848713630292119,-2800.0,10.812929519683873
rf,de,4898,42305.0,0.4853001224989792,1.4930365363323816,-2675.0,10.775512496695843
mlp,random_search,4898,41365.0,0.4850959575336872,1.4793996639045026,-2800.0,10.743754358999318
svm,gwo,4898,34745.0,0.4699877501020825,1.3863990213523132,-3400.0,10.698005962367999
svm,ga,4898,35405.0,0.4718252347897101,1.3953215721304153,-3360.0,10.663504953668276
svm,random_search,4898,35405.0,0.4718252347897101,1.3953215721304153,-3360.0,10.663504953668276
rf,pso,4898,41475.0,0.4846876276031033,1.480841690336792,-3010.0,10.453704878331298
mlp,gwo,4898,40485.0,0.48305430788076764,1.4665783104759709,-2800.0,10.187796782563364
mlp,pso,4898,38155.0,0.4791751735402205,1.43343178461888,-3030.0,9.995296366780249
rf,random_search,4898,36815.0,0.47386688444262964,1.414419992120223,-2990.0,9.88350204346184
rf,gwo,4898,35915.0,0.4750918742343814,1.4024089635854342,-3200.0,9.683881295656581
rf,ga,4898,35315.0,0.4726418946508779,1.3940746526809127,-3220.0,8.962031794536303
svm,pso,4898,29085.0,0.46325030624744795,1.31301119242359,-3620.0,8.81394204726971
mlp,de,4898,34885.0,0.4740710494079216,1.3884960187092823,-3090.0,8.175926793869152
svm,de,4898,-22425.0,0.3754593711719069,0.8143779488452942,-33675.0,-4.034958233174207
