model_type,optimizer,metric,mean,std,median,min,max,ci_95_lower,ci_95_upper,n_seeds
mlp,random_search,f1,0.6550476816836567,0.0,0.6550476816836567,0.6550476816836567,0.6550476816836567,0.6550476816836567,0.6550476816836567,1
mlp,random_search,mcc,0.3035091318758663,0.0,0.3035091318758663,0.3035091318758663,0.3035091318758663,0.3035091318758663,0.3035091318758663,1
mlp,random_search,auc_roc,0.6941110050083914,0.0,0.6941110050083914,0.6941110050083914,0.6941110050083914,0.6941110050083914,0.6941110050083914,1
mlp,random_search,auc_pr,0.6748977111236298,0.0,0.6748977111236298,0.6748977111236298,0.6748977111236298,0.6748977111236298,0.6748977111236298,1
mlp,random_search,best_validation_fitness,0.4224937890581638,0.0,0.4224937890581638,0.4224937890581638,0.4224937890581638,0.4224937890581638,0.4224937890581638,1
mlp,random_search,runtime_seconds,8.26279760000034,0.0,8.26279760000034,8.26279760000034,8.26279760000034,8.26279760000034,8.26279760000034,1
mlp,ga,f1,0.6557911908646004,0.0,0.6557911908646004,0.6557911908646004,0.6557911908646004,0.6557911908646004,0.6557911908646004,1
mlp,ga,mcc,0.2992554014180083,0.0,0.2992554014180083,0.2992554014180083,0.2992554014180083,0.2992554014180083,0.2992554014180083,1
mlp,ga,auc_roc,0.6936558169897163,0.0,0.6936558169897163,0.6936558169897163,0.6936558169897163,0.6936558169897163,0.6936558169897163,1
mlp,ga,auc_pr,0.6757997232950659,0.0,0.6757997232950659,0.6757997232950659,0.6757997232950659,0.6757997232950659,0.6757997232950659,1
mlp,ga,best_validation_fitness,0.4269863141662824,0.0,0.4269863141662824,0.4269863141662824,0.4269863141662824,0.4269863141662824,0.4269863141662824,1
mlp,ga,runtime_seconds,2.76647669999511,0.0,2.76647669999511,2.76647669999511,2.76647669999511,2.76647669999511,2.76647669999511,1
mlp,pso,f1,0.6611093299134337,0.0,0.6611093299134337,0.6611093299134337,0.6611093299134337,0.6611093299134337,0.6611093299134337,1
mlp,pso,mcc,0.2975979589789667,0.0,0.2975979589789667,0.2975979589789667,0.2975979589789667,0.2975979589789667,0.2975979589789667,1
mlp,pso,auc_roc,0.6928535039994355,0.0,0.6928535039994355,0.6928535039994355,0.6928535039994355,0.6928535039994355,0.6928535039994355,1
mlp,pso,auc_pr,0.6715513538630614,0.0,0.6715513538630614,0.6715513538630614,0.6715513538630614,0.6715513538630614,0.6715513538630614,1
mlp,pso,best_validation_fitness,0.4233754481269407,0.0,0.4233754481269407,0.4233754481269407,0.4233754481269407,0.4233754481269407,0.4233754481269407,1
mlp,pso,runtime_seconds,2.550541699994937,0.0,2.550541699994937,2.550541699994937,2.550541699994937,2.550541699994937,2.550541699994937,1
mlp,de,f1,0.657928388746803,0.0,0.657928388746803,0.657928388746803,0.657928388746803,0.657928388746803,0.657928388746803,1
mlp,de,mcc,0.2889322224853671,0.0,0.2889322224853671,0.2889322224853671,0.2889322224853671,0.2889322224853671,0.2889322224853671,1
mlp,de,auc_roc,0.6852057277825683,0.0,0.6852057277825683,0.6852057277825683,0.6852057277825683,0.6852057277825683,0.6852057277825683,1
mlp,de,auc_pr,0.660657300470439,0.0,0.660657300470439,0.660657300470439,0.660657300470439,0.660657300470439,0.660657300470439,1
mlp,de,best_validation_fitness,0.4259674939170305,0.0,0.4259674939170305,0.4259674939170305,0.4259674939170305,0.4259674939170305,0.4259674939170305,1
mlp,de,runtime_seconds,2.1360696999981883,0.0,2.1360696999981883,2.1360696999981883,2.1360696999981883,2.1360696999981883,2.1360696999981883,1
mlp,gwo,f1,0.6574193548387097,0.0,0.6574193548387097,0.6574193548387097,0.6574193548387097,0.6574193548387097,0.6574193548387097,1
mlp,gwo,mcc,0.2943468254747525,0.0,0.2943468254747525,0.2943468254747525,0.2943468254747525,0.2943468254747525,0.2943468254747525,1
mlp,gwo,auc_roc,0.6888637721942753,0.0,0.6888637721942753,0.6888637721942753,0.6888637721942753,0.6888637721942753,0.6888637721942753,1
mlp,gwo,auc_pr,0.6666683305620503,0.0,0.6666683305620503,0.6666683305620503,0.6666683305620503,0.6666683305620503,0.6666683305620503,1
mlp,gwo,best_validation_fitness,0.4279164938883925,0.0,0.4279164938883925,0.4279164938883925,0.4279164938883925,0.4279164938883925,0.4279164938883925,1
mlp,gwo,runtime_seconds,2.757375299996056,0.0,2.757375299996056,2.757375299996056,2.757375299996056,2.757375299996056,2.757375299996056,1
svm,random_search,f1,0.6784537009289782,0.0,0.6784537009289782,0.6784537009289782,0.6784537009289782,0.6784537009289782,0.6784537009289782,1
svm,random_search,mcc,0.2894299593508296,0.0,0.2894299593508296,0.2894299593508296,0.2894299593508296,0.2894299593508296,0.2894299593508296,1
svm,random_search,auc_roc,0.700983814801991,0.0,0.700983814801991,0.700983814801991,0.700983814801991,0.700983814801991,0.700983814801991,1
svm,random_search,auc_pr,0.6821158888671977,0.0,0.6821158888671977,0.6821158888671977,0.6821158888671977,0.6821158888671977,0.6821158888671977,1
svm,random_search,best_validation_fitness,0.428042852404086,0.0,0.428042852404086,0.428042852404086,0.428042852404086,0.428042852404086,0.428042852404086,1
svm,random_search,runtime_seconds,21.62453709999681,0.0,21.62453709999681,21.62453709999681,21.62453709999681,21.62453709999681,21.62453709999681,1
svm,ga,f1,0.6784537009289782,0.0,0.6784537009289782,0.6784537009289782,0.6784537009289782,0.6784537009289782,0.6784537009289782,1
svm,ga,mcc,0.2894299593508296,0.0,0.2894299593508296,0.2894299593508296,0.2894299593508296,0.2894299593508296,0.2894299593508296,1
svm,ga,auc_roc,0.700983814801991,0.0,0.700983814801991,0.700983814801991,0.700983814801991,0.700983814801991,0.700983814801991,1
svm,ga,auc_pr,0.6821158888671977,0.0,0.6821158888671977,0.6821158888671977,0.6821158888671977,0.6821158888671977,0.6821158888671977,1
svm,ga,best_validation_fitness,0.428042852404086,0.0,0.428042852404086,0.428042852404086,0.428042852404086,0.428042852404086,0.428042852404086,1
svm,ga,runtime_seconds,21.59734000000026,0.0,21.59734000000026,21.59734000000026,21.59734000000026,21.59734000000026,21.59734000000026,1
svm,pso,f1,0.680047225501771,0.0,0.680047225501771,0.680047225501771,0.680047225501771,0.680047225501771,0.680047225501771,1
svm,pso,mcc,0.2834535656624725,0.0,0.2834535656624725,0.2834535656624725,0.2834535656624725,0.2834535656624725,0.2834535656624725,1
svm,pso,auc_roc,0.6975200633381777,0.0,0.6975200633381777,0.6975200633381777,0.6975200633381777,0.6975200633381777,0.6975200633381777,1
svm,pso,auc_pr,0.6747495637263048,0.0,0.6747495637263048,0.6747495637263048,0.6747495637263048,0.6747495637263048,0.6747495637263048,1
svm,pso,best_validation_fitness,0.4373132700849312,0.0,0.4373132700849312,0.4373132700849312,0.4373132700849312,0.4373132700849312,0.4373132700849312,1
svm,pso,runtime_seconds,21.72453050000331,0.0,21.72453050000331,21.72453050000331,21.72453050000331,21.72453050000331,21.72453050000331,1
svm,de,f1,0.6781034071956159,0.0,0.6781034071956159,0.6781034071956159,0.6781034071956159,0.6781034071956159,0.6781034071956159,1
svm,de,mcc,0.1375445364384015,0.0,0.1375445364384015,0.1375445364384015,0.1375445364384015,0.1375445364384015,0.1375445364384015,1
svm,de,auc_roc,0.6347535170111085,0.0,0.6347535170111085,0.6347535170111085,0.6347535170111085,0.6347535170111085,0.6347535170111085,1
svm,de,auc_pr,0.6410945536594482,0.0,0.6410945536594482,0.6410945536594482,0.6410945536594482,0.6410945536594482,0.6410945536594482,1
svm,de,best_validation_fitness,0.445865567631006,0.0,0.445865567631006,0.445865567631006,0.445865567631006,0.445865567631006,0.445865567631006,1
svm,de,runtime_seconds,14.042602100002114,0.0,14.042602100002114,14.042602100002114,14.042602100002114,14.042602100002114,14.042602100002114,1
svm,gwo,f1,0.6811551056862162,0.0,0.6811551056862162,0.6811551056862162,0.6811551056862162,0.6811551056862162,0.6811551056862162,1
svm,gwo,mcc,0.291401740183893,0.0,0.291401740183893,0.291401740183893,0.291401740183893,0.291401740183893,0.291401740183893,1
svm,gwo,auc_roc,0.7014786994502017,0.0,0.7014786994502017,0.7014786994502017,0.7014786994502017,0.7014786994502017,0.7014786994502017,1
svm,gwo,auc_pr,0.6843196318360316,0.0,0.6843196318360316,0.6843196318360316,0.6843196318360316,0.6843196318360316,0.6843196318360316,1
svm,gwo,best_validation_fitness,0.429654448169721,0.0,0.429654448169721,0.429654448169721,0.429654448169721,0.429654448169721,0.429654448169721,1
svm,gwo,runtime_seconds,21.609625199998845,0.0,21.609625199998845,21.609625199998845,21.609625199998845,21.609625199998845,21.609625199998845,1
rf,random_search,f1,0.6668742216687422,0.0,0.6668742216687422,0.6668742216687422,0.6668742216687422,0.6668742216687422,0.6668742216687422,1
rf,random_search,mcc,0.2892460674320711,0.0,0.2892460674320711,0.2892460674320711,0.2892460674320711,0.2892460674320711,0.2892460674320711,1
rf,random_search,auc_roc,0.6857791235425272,0.0,0.6857791235425272,0.6857791235425272,0.6857791235425272,0.6857791235425272,0.6857791235425272,1
rf,random_search,auc_pr,0.6615403456857043,0.0,0.6615403456857043,0.6615403456857043,0.6615403456857043,0.6615403456857043,0.6615403456857043,1
rf,random_search,best_validation_fitness,0.415507078594742,0.0,0.415507078594742,0.415507078594742,0.415507078594742,0.415507078594742,0.415507078594742,1
rf,random_search,runtime_seconds,1.3157714000044507,0.0,1.3157714000044507,1.3157714000044507,1.3157714000044507,1.3157714000044507,1.3157714000044507,1
rf,ga,f1,0.6689419795221843,0.0,0.6689419795221843,0.6689419795221843,0.6689419795221843,0.6689419795221843,0.6689419795221843,1
rf,ga,mcc,0.2913626273607995,0.0,0.2913626273607995,0.2913626273607995,0.2913626273607995,0.2913626273607995,0.2913626273607995,1
rf,ga,auc_roc,0.6880863798658695,0.0,0.6880863798658695,0.6880863798658695,0.6880863798658695,0.6880863798658695,0.6880863798658695,1
rf,ga,auc_pr,0.6594457768710812,0.0,0.6594457768710812,0.6594457768710812,0.6594457768710812,0.6594457768710812,0.6594457768710812,1
rf,ga,best_validation_fitness,0.4138092508663397,0.0,0.4138092508663397,0.4138092508663397,0.4138092508663397,0.4138092508663397,0.4138092508663397,1
rf,ga,runtime_seconds,1.9001295999987635,0.0,1.9001295999987635,1.9001295999987635,1.9001295999987635,1.9001295999987635,1.9001295999987635,1
rf,pso,f1,0.6567646109137876,0.0,0.6567646109137876,0.6567646109137876,0.6567646109137876,0.6567646109137876,0.6567646109137876,1
rf,pso,mcc,0.2936982059428017,0.0,0.2936982059428017,0.2936982059428017,0.2936982059428017,0.2936982059428017,0.2936982059428017,1
rf,pso,auc_roc,0.6874351346046547,0.0,0.6874351346046547,0.6874351346046547,0.6874351346046547,0.6874351346046547,0.6874351346046547,1
rf,pso,auc_pr,0.6621603108427613,0.0,0.6621603108427613,0.6621603108427613,0.6621603108427613,0.6621603108427613,0.6621603108427613,1
rf,pso,best_validation_fitness,0.4214655918521407,0.0,0.4214655918521407,0.4214655918521407,0.4214655918521407,0.4214655918521407,0.4214655918521407,1
rf,pso,runtime_seconds,1.2321522000056575,0.0,1.2321522000056575,1.2321522000056575,1.2321522000056575,1.2321522000056575,1.2321522000056575,1
rf,de,f1,0.66048,0.0,0.66048,0.66048,0.66048,0.66048,0.66048,1
rf,de,mcc,0.2949243918095435,0.0,0.2949243918095435,0.2949243918095435,0.2949243918095435,0.2949243918095435,0.2949243918095435,1
