experiment,experiment_label,model,optimizer,seed,first_fitness,best_fitness,total_evaluations,total_runtime_minutes,eval_to_95pct_final,time_to_95pct_final_minutes,auc_progress
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,0.3795411526243476,0.4050826021422286,1000,4.370229009132556,151,0.6538760335166746,0.9712998172538364
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,0.2434952208157897,0.4060880972848101,1000,7.132473624184604,2,0.008346196366680185,0.9907661581160822
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,0.3967966083466807,0.4064803774307528,1000,2.783406977663253,188,0.5552978485497987,0.9170013501947113
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,ga,1,0.3684713775444648,0.4050558481708901,1000,9.819663800350675,140,1.2355926635840053,0.9809942227408472
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,ga,2,0.3970914112070025,0.4042469599603073,1000,3.782731878090816,10,0.03894401554995662,0.9921984707710092
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,ga,3,0.3909677914432072,0.4016084275309138,1000,3.443823564376331,4,0.014396434466683178,0.9741583245555572
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,gwo,1,0.3795411526243476,0.4071926233964875,1000,3.962645130184076,360,1.3078241129004404,0.9483904260817975
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,gwo,2,0.2434952208157897,0.4135436715881966,1000,7.599964118716495,207,1.2562217812162695,0.9826538243917657
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,gwo,3,0.3967966083466807,0.406374067144143,1000,5.277770726450035,280,1.4781863214334103,0.9147484748376706
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,1,0.3795411526243476,0.4072631865270627,1000,3.223338506900745,200,0.6631775960005445,0.9590118466489698
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,0.2434952208157897,0.4133384054954492,1000,9.056836596582343,30,0.20089398601661135,0.9754345951950436
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,0.3967966083466807,0.4084226341156506,1000,3.7513231608673165,434,1.6132195242502043,0.765521475106085
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,0.3684713775444648,0.4072905354522074,1000,4.4363431930995825,262,1.07736559916666,0.9583951210556274
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,0.3970914112070025,0.4084000706015724,1000,4.355148438732976,708,3.05789692308308,0.83552369867353
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,0.3909677914432072,0.4050280401239825,1000,4.323462141499536,73,0.2872037941665136,0.9745463959937732
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,0.4173181120514199,0.4269327388612953,1000,1.699197247967504,102,0.14633482196668401,0.9403313537482155
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,0.388235594184995,0.428973791330185,1000,2.370823237583715,175,0.3090175379999739,0.9777611175870574
