experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,50,0.4018992724481556,0.8753661301859784,0.20470004711666354
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,100,0.402059806113221,0.8816513515847493,0.4271322159167539
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,250,0.4043290505745914,0.9704969145502241,1.1301878300833776
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,500,0.4050826021422286,1.0,2.2905273014164167
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,1,1000,0.4050826021422286,1.0,4.370229009132556
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,50,0.402367755005876,0.9771186637463607,0.19583228526671517
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,100,0.402367755005876,0.9771186637463607,0.3920892229499865
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,250,0.4036548084168272,0.9850344681708949,1.2310670038165579
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,500,0.404815783748832,0.9921748506846759,2.9822255047170074
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,2,1000,0.4060880972848101,1.0,7.132473624184604
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,50,0.4027222184172112,0.6119115417856187,0.16636292318332074
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,100,0.4027222184172112,0.6119115417856187,0.31047648996661026
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,250,0.4064803774307528,1.0,0.7211606052998527
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,500,0.4064803774307528,1.0,1.3880198621994468
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,de,3,1000,0.4064803774307528,1.0,2.783406977663253
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,ga,1,50,0.4010056360817549,0.8892914939102687,0.39884285685017556
