experiment,experiment_label,model,optimizer,seed_count_best,accuracy_test_mean,accuracy_test_std,mcc_test_mean,mcc_test_std,f1_test_mean,f1_test_std,seed_count_runs,total_trainings_median,total_runtime_minutes_median,trainings_to_95pct_final_best_median,minutes_to_95pct_final_best_median,best_fitness_mean
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,cnn,de,3,0.6334661354581673,0.0043415328122915035,0.2672364829019385,0.009283374334319564,0.636341446714302,0.007622359199608238,3,1000.0,4.370229009132556,151.0,0.5552978485497987,0.4058836922859305
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,cnn,ga,3,0.6337981407702523,0.002073372509428417,0.268270420954886,0.005741615895968523,0.6359548754859087,0.012085847984458425,3,1000.0,3.782731878090816,10.0,0.03894401554995662,0.4036370785540371
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,cnn,gwo,3,0.5783532536520584,0.09956340569385126,0.138508644863577,0.23180495878520782,0.6304284432008979,0.019509431134257776,3,1000.0,5.277770726450035,280.0,1.3078241129004404,0.4090367873762757
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,cnn,pso,3,0.6346834882691456,0.0006911241698094725,0.2690676470299502,0.0011971863383200554,0.6517077821470737,0.010217625864865435,3,1000.0,3.7513231608673165,200.0,0.6631775960005445,0.4096747420460542
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,cnn,random_search,3,0.5863213811420983,0.08314264198710358,0.17871058366092885,0.15486998094812388,0.4302005025525106,0.37257976238547,3,1000.0,4.355148438732976,262.0,1.07736559916666,0.4069062153925875
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,mlp,de,3,0.6512837538733952,0.00019168335630465646,0.3022836069646482,0.0002564101875726985,0.6583468856113533,0.0020145467846484078,3,1000.0,1.9337906759007857,102.0,0.14633482196668401,0.4276843050742047
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,mlp,ga,3,0.6455289951305887,0.0011659643374117674,0.29047699422591383,0.002337400268335842,0.6595084029081505,0.0011758942298466211,3,1000.0,2.326365309033176,39.0,0.05844008638332522,0.4270756268028599
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,mlp,gwo,3,0.6525011066843737,0.0003833667126093129,0.30466799293839375,0.000797480173065189,0.6600995025421947,0.0001313707099820267,3,1000.0,1.7300386388333657,412.0,0.8307801046833558,0.42847391652679384
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,mlp,pso,3,0.6496237273129704,0.002975725909638942,0.2988480309347601,0.005983792088520448,0.6582491342577702,0.0024429682077448654,3,1000.0,1.6713878942500602,142.0,0.17829613170000008,0.4277597796291362
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,mlp,random_search,3,0.5531208499335989,0.15298637624511047,0.10633349205945869,0.30608378549556237,0.5567717064870403,0.15115662191351356,3,1000.0,2.076960044916667,678.0,1.4532757421666764,0.43534220459962286
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,de,3,0.6460823373173971,0.002875250344569847,0.2917295392155801,0.0055587827012121786,0.6618303751714704,0.0034984535489858927,3,1000.0,78.42057163376694,175.0,5.96362276034982,0.4222989150593239
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,ga,3,0.6465250110668438,0.003155506292470837,0.29291234240283975,0.0061261549237998205,0.6694296562184437,0.0008538142674274004,3,1000.0,41.60686387650958,595.0,13.618547183163749,0.4175247898135683
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,gwo,3,0.6443116423196105,0.0018285426783818384,0.28843638040838787,0.003828721098520209,0.6672101794901687,0.0030987030243347403,3,1000.0,51.26436957343382,140.0,6.846676216249883,0.4232428200376057
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,pso,3,0.6466356795042053,0.0007667334252186258,0.2928654319348092,0.0013566495275802247,0.6615704316836277,0.006021190594481375,3,1000.0,41.614366500898996,61.0,5.585874444966643,0.42153982243978777
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,random_search,3,0.6404382470119522,0.007849661631830596,0.2805820291260706,0.015969899112852858,0.6624556010014145,0.010179157965727477,3,1000.0,85.82112281950073,619.0,55.57373753226778,0.42013536191468287
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,de,3,0.5976095617529881,0.07682964474671782,0.18700833283179744,0.1709981783363363,0.674635765833362,0.003767629954924311,3,1000.0,4.1689941816647655,53.0,0.7612069429665855,0.43739775365982725
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,ga,3,0.6440903054448871,0.001756806979458558,0.28984121981688793,0.004794955592914124,0.676957956706255,0.007317506410219593,3,1000.0,236.8515655120596,780.0,143.94152097136842,0.42815615508107446
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,gwo,3,0.6126604692341745,0.035693788009894034,0.2315902875884465,0.06578055654374616,0.5918663088496402,0.08268453371588638,2,1000.0,4.321918742558523,243.0,1.0580419519083686,0.4525086495022709
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,pso,3,0.6073483842408146,0.06111453408100243,0.2545363441703519,0.08396351168541806,0.4720572981199025,0.21286106888396494,3,1000.0,752.0454355428515,225.0,126.90887778300021,0.44572385846789286
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,random_search,3,0.5561088977423639,0.0907650547255721,0.10494421143510567,0.22432660870191967,0.5927814513654268,0.10403162427707265,3,1000.0,421.9851124122825,501.0,217.45222704409935,0.4413750311060857
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,de,3,0.6344621513944223,0.002073372509428417,0.2686091123635311,0.004546769167830604,0.6431506179758962,0.003825095223630212,3,1000.0,3.0509950459378152,85.0,0.26059261469987777,0.6385183042591893
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,ga,3,0.6340194776449756,0.0017037189373993625,0.2677188922595105,0.003456649996646348,0.6415955076821668,0.0012619031281036809,3,1000.0,6.696808504564674,140.0,1.1898148853133534,0.6378393287535157
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,gwo,3,0.6367861885790173,0.0006640106241699861,0.27574289571677785,0.001250827910082297,0.6270172624803685,0.004164689596435834,3,1000.0,3.6274309931485424,156.0,0.6024667972667277,0.6402231740205476
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,pso,3,0.634572819831784,0.00308485167436174,0.26883767088358596,0.006279926707920502,0.6420250346199841,0.0015531961912392622,3,1000.0,3.208416466547896,54.0,0.17186679155001908,0.6387470623113867
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,random_search,3,0.6364541832669323,0.0020195094722105624,0.2726955342807671,0.0041166195529600035,0.6433243613475784,0.004813624331051978,3,1000.0,4.210768935964733,295.0,1.2359587892329726,0.6392563601137697
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,de,3,0.6515050907481186,0.00019168335630465646,0.3027979424664054,0.00038356788350678327,0.6575312426817167,0.00021905122198792747,3,1000.0,2.0935256845008055,79.0,0.22000498201668198,0.6492490808246182
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,ga,3,0.649402390438247,0.00431606905710491,0.2984130917264125,0.008805114421493003,0.6588395122642816,0.0017676931697412288,3,1000.0,2.913339650817139,56.0,0.10232995888335188,0.6483634490914564
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,gwo,3,0.6517264276228419,0.0005750500689139694,0.30313195978348645,0.0011995512988313606,0.6591570809584762,0.00026255158948553604,3,1000.0,2.0728880820333826,229.0,0.4149489769166733,0.6493450220566065
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,pso,3,0.6522797698096503,0.0003833667126093129,0.3043262083862915,0.0007459201028934153,0.6585520737734307,0.0006714393097089598,3,1000.0,2.0866776587333495,114.0,0.19260343898332424,0.6492343217662461
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,random_search,3,0.648738379814077,0.004079749577504813,0.29730557467288676,0.007755344139359144,0.6552202898896361,0.008664884429695152,3,1000.0,2.3852962658666717,15.0,0.038552549183331536,0.6493229790524553
