experiment,model,optimizer,value,mcc_test,f1_test,accuracy_test,runtime_minutes
exp1_mcc,cnn,de,0.2672364829019385,0.2672364829019385,0.636341446714302,0.6334661354581673,14.286109610980414
exp1_mcc,cnn,ga,0.268270420954886,0.268270420954886,0.6359548754859087,0.6337981407702523,17.046219242817823
exp1_mcc,cnn,gwo,0.138508644863577,0.138508644863577,0.6304284432008979,0.5783532536520584,16.840379975350608
exp1_mcc,cnn,pso,0.2690676470299502,0.2690676470299502,0.6517077821470737,0.6346834882691456,16.031498264350407
exp1_mcc,cnn,random_search,0.17871058366092885,0.17871058366092885,0.4302005025525106,0.5863213811420983,13.114953773332097
exp1_mcc,mlp,de,0.3022836069646482,0.3022836069646482,0.6583468856113533,0.6512837538733952,6.003811161452005
exp1_mcc,mlp,ga,0.29047699422591383,0.29047699422591383,0.6595084029081505,0.6455289951305887,5.922916402298392
exp1_mcc,mlp,gwo,0.30466799293839375,0.30466799293839375,0.6600995025421947,0.6525011066843737,5.255245854700258
exp1_mcc,mlp,pso,0.2988480309347601,0.2988480309347601,0.6582491342577702,0.6496237273129704,4.888062205983379
exp1_mcc,mlp,random_search,0.10633349205945869,0.10633349205945869,0.5567717064870403,0.5531208499335989,6.234158753433337
exp1_mcc,rf,de,0.2917295392155801,0.2917295392155801,0.6618303751714704,0.6460823373173971,265.27468400481104
exp1_mcc,rf,ga,0.29291234240283975,0.29291234240283975,0.6694296562184437,0.6465250110668438,112.99211379796522
exp1_mcc,rf,gwo,0.28843638040838787,0.28843638040838787,0.6672101794901687,0.6443116423196105,154.01330318836608
exp1_mcc,rf,pso,0.2928654319348092,0.2928654319348092,0.6615704316836277,0.6466356795042053,242.92069737024477
exp1_mcc,rf,random_search,0.2805820291260706,0.2805820291260706,0.6624556010014145,0.6404382470119522,256.94053252684927
exp1_mcc,svm,de,0.18700833283179744,0.18700833283179744,0.674635765833362,0.5976095617529881,13.617234138751883
exp1_mcc,svm,ga,0.28984121981688793,0.28984121981688793,0.676957956706255,0.6440903054448871,845.4419114109706
exp1_mcc,svm,gwo,0.2315902875884465,0.2315902875884465,0.5918663088496402,0.6126604692341745,8.643837485117047
exp1_mcc,svm,pso,0.2545363441703519,0.2545363441703519,0.4720572981199025,0.6073483842408146,2195.1354693902363
exp1_mcc,svm,random_search,0.10494421143510567,0.10494421143510567,0.5927814513654268,0.5561088977423639,1267.9911659706652
exp1_mcc_accuracy,cnn,de,0.6334661354581673,0.2672364829019385,0.636341446714302,0.6334661354581673,14.286109610980414
exp1_mcc_accuracy,cnn,ga,0.6337981407702523,0.268270420954886,0.6359548754859087,0.6337981407702523,17.046219242817823
exp1_mcc_accuracy,cnn,gwo,0.5783532536520584,0.138508644863577,0.6304284432008979,0.5783532536520584,16.840379975350608
exp1_mcc_accuracy,cnn,pso,0.6346834882691456,0.2690676470299502,0.6517077821470737,0.6346834882691456,16.031498264350407
exp1_mcc_accuracy,cnn,random_search,0.5863213811420983,0.17871058366092885,0.4302005025525106,0.5863213811420983,13.114953773332097
exp1_mcc_accuracy,mlp,de,0.6512837538733952,0.3022836069646482,0.6583468856113533,0.6512837538733952,6.003811161452005
