experiment,experiment_label,model,optimizer,seed,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1,473,3465.0,7.325581395348837,0.45665961945031713,1.2672580023139222,-2940.0,2.449245151753371
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2,471,4610.0,9.78768577494692,0.4734607218683652,1.3688,-1930.0,3.7061528844872402
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3,381,7615.0,19.986876640419947,0.5511811023622047,2.0403005464480874,-1120.0,5.559556116758018
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1,514,1300.0,2.529182879377432,0.4163424124513619,1.082200442617768,-2600.0,0.956070853800975
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2,29,3595.0,123.96551724137932,0.8275862068965517,20.43243243243243,-95.0,7.333402372750722
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3,520,1815.0,3.4903846153846154,0.4269230769230769,1.1147644641163452,-2765.0,1.4225898506409365
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1,520,2900.0,5.576923076923077,0.43846153846153846,1.188372848327379,-2650.0,2.2304337377635193
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2,309,-12345.0,-39.95145631067961,0.27184466019417475,0.24954407294832825,-12365.0,-8.265505201555602
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3,517,1450.0,2.804642166344294,0.42359767891682787,1.0905118601747816,-2720.0,1.0715661279320128
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1,512,1530.0,2.98828125,0.423828125,1.0969274627811214,-2620.0,1.1147652470886358
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,2,413,-1470.0,-3.559322033898305,0.4261501210653753,0.8816425120772947,-3340.0,-1.2952841298457312
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,3,90,905.0,10.055555555555555,0.4777777777777778,1.306779661016949,-970.0,1.9156744656460907
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,1,445,7045.0,15.831460674157304,0.5168539325842697,1.647816091954023,-1695.0,5.547200462318853
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,2,520,2160.0,4.153846153846154,0.4269230769230769,1.1352536005009393,-2845.0,1.735215785132403
