experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean,total_trades_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3,4540.0,2717.724231779229,0.4990495146914085,1.4258708850546709,-2700.0,3.0747117486942472,441.6666666666667
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,3,3048.3333333333335,2964.5502750557857,0.49146373921654823,1.2217030796767032,-3533.3333333333335,2.043294483054941,457.3333333333333
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,3,1865.0,134.44329659748752,0.4493589743589744,1.100285378891974,-3145.0,1.2920763771639263,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,3,1310.0,7019.6794798623105,0.4532051282051282,1.12485449316691,-3321.6666666666665,0.801791387874601,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3,1166.6666666666667,2510.6390288795665,0.5837927078065278,13.736950583805688,-2305.0,2.552021480070494,354.3333333333333
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,pso,3,823.3333333333334,878.6400476493963,0.44263527054108215,1.0466415436414302,-3155.0,0.5606483891547213,513.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,random_search,3,590.0,1529.1255671134402,0.4388365115637843,1.0400083835234075,-3235.0,0.4175499095446143,507.3333333333333
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,3,510.0,181.86533479473212,0.4371794871794872,1.0266566339291314,-3408.3333333333335,0.36698399934041115,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,gwo,3,493.3333333333333,468.8372141088347,0.4369943579668531,1.0259196266235435,-3428.3333333333335,0.33964239991176215,516.3333333333334
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,3,446.6666666666667,358.48058989760284,0.4334204630321135,1.0234642606690236,-3373.3333333333335,0.320840772478633,518.3333333333334
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,3,158.33333333333334,338.3907997173288,0.4355889916987406,1.0082645505384504,-3450.0,0.11045676165092543,515.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,3,70.0,318.23733281939127,0.4328925448213295,1.003723773596082,-3440.0,0.04791674343470431,516.6666666666666
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,3,-168.33333333333334,518.1778973801694,0.42595152980503515,0.9910406830583504,-3380.0,-0.11101186443115674,515.6666666666666
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,3,-1028.3333333333333,1654.035469188413,0.44339244378306875,0.9495678301357025,-3331.6666666666665,-0.7047545441339208,338.3333333333333
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,3,-1190.0,1735.2305322348382,0.42510372413368486,0.9023259092893552,-3696.6666666666665,-0.9439582149304728,439.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,3,-1730.0,645.9295627233669,0.4256410256410256,0.9153974056821247,-3898.3333333333335,-1.396062212735522,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,3,-1946.6666666666667,287.8512347260879,0.4256410256410256,0.9054103129924046,-3910.0,-1.619370761515481,520.0
