status,signal_id,signal_datetime,entry_datetime,model,optimizer,experiment,seed,direction,y_pred,y_proba,confidence,entry_price,exit_price,gross_points,cost_points,net_points,exit_reason,equity_points
closed,0,2024-05-20 15:25:00,2024-05-20 15:25:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4906001985073089,0.509399801492691,130610.0,130655.0,-45.0,5.0,-50.0,close,-50.0
closed,1,2024-05-20 15:25:00,2024-05-20 15:30:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5086484551429749,0.5086484551429749,128590.0,128565.0,-25.0,5.0,-30.0,close,-80.0
closed,2,2024-05-20 15:30:00,2024-05-20 15:30:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5692290663719177,0.5692290663719177,130650.0,130650.0,0.0,5.0,-5.0,close,-85.0
closed,3,2024-05-20 15:30:00,2024-05-20 15:35:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5803894996643066,0.5803894996643066,128600.0,128560.0,-40.0,5.0,-45.0,close,-130.0
closed,4,2024-05-20 15:35:00,2024-05-20 15:35:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5932399034500122,0.5932399034500122,130695.0,130640.0,-55.0,5.0,-60.0,close,-190.0
closed,5,2024-05-20 15:35:00,2024-05-20 15:40:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5954223871231079,0.5954223871231079,128550.0,128515.0,-35.0,5.0,-40.0,close,-230.0
closed,6,2024-05-20 15:40:00,2024-05-20 15:40:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5017143487930298,0.5017143487930298,130590.0,130570.0,-20.0,5.0,-25.0,close,-255.0
closed,7,2024-05-20 15:40:00,2024-05-20 15:45:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.3573218882083893,0.6426781117916107,130565.0,130565.0,0.0,5.0,-5.0,close,-260.0
closed,8,2024-05-20 15:45:00,2024-05-20 15:45:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4703083634376526,0.5296916365623474,128540.0,128540.0,0.0,5.0,-5.0,close,-265.0
closed,9,2024-05-20 15:45:00,2024-05-20 15:50:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5089654326438904,0.5089654326438904,128550.0,128515.0,-35.0,5.0,-40.0,close,-305.0
closed,10,2024-05-20 15:50:00,2024-05-20 15:50:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4748389720916748,0.5251610279083252,130585.0,130570.0,15.0,5.0,10.0,close,-295.0
closed,11,2024-05-20 15:50:00,2024-05-20 15:55:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.3074888288974762,0.6925111711025238,128535.0,128520.0,15.0,5.0,10.0,close,-285.0
closed,12,2024-05-20 15:55:00,2024-05-20 15:55:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4747313857078552,0.5252686142921448,130575.0,130600.0,-25.0,5.0,-30.0,close,-315.0
closed,13,2024-05-20 15:55:00,2024-05-20 16:00:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4716848134994507,0.5283151865005493,130660.0,130660.0,0.0,5.0,-5.0,close,-320.0
closed,14,2024-05-20 16:00:00,2024-05-20 16:00:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.595424234867096,0.595424234867096,128595.0,128575.0,-20.0,5.0,-25.0,close,-345.0
closed,15,2024-05-20 16:00:00,2024-05-20 16:05:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.574497640132904,0.574497640132904,130635.0,130635.0,0.0,5.0,-5.0,close,-350.0
closed,16,2024-05-20 16:05:00,2024-05-20 16:05:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.6311973929405212,0.6311973929405212,128605.0,128580.0,-25.0,5.0,-30.0,close,-380.0
closed,17,2024-05-20 16:05:00,2024-05-20 16:10:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.6182504892349243,0.6182504892349243,130670.0,130670.0,0.0,5.0,-5.0,close,-385.0
closed,18,2024-05-20 16:10:00,2024-05-20 16:10:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.5982162952423096,0.5982162952423096,128605.0,128585.0,-20.0,5.0,-25.0,close,-410.0
closed,19,2024-05-20 16:10:00,2024-05-20 16:15:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.6093741059303284,0.6093741059303284,130685.0,130685.0,0.0,5.0,-5.0,close,-415.0
closed,20,2024-05-20 16:15:00,2024-05-20 16:15:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.6036231517791748,0.6036231517791748,128610.0,128595.0,-15.0,5.0,-20.0,close,-435.0
closed,21,2024-05-20 16:15:00,2024-05-20 16:20:00,mlp,gwo,exp1_holdout_mcc_f1,1,long,1,0.6203997731208801,0.6203997731208801,128625.0,128540.0,-85.0,5.0,-90.0,close,-525.0
closed,22,2024-05-20 16:20:00,2024-05-20 16:20:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4982349276542663,0.5017650723457336,130690.0,130605.0,85.0,5.0,80.0,close,-445.0
closed,23,2024-05-20 16:20:00,2024-05-20 16:25:00,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4940359592437744,0.5059640407562256,128555.0,128520.0,35.0,5.0,30.0,close,-415.0
pending,24,2024-05-20 16:25:00,,mlp,gwo,exp1_holdout_mcc_f1,1,short,0,0.4195162355899811,0.5804837644100189,,,,5.0,,waiting_next_candle,
