model_type,optimizer,seed,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
mlp,gwo,1,306,4485.0,14.656862745098039,0.5130718954248366,1.3070866141732282,-2175.0,23.21911516994974
mlp,gwo,2,305,4575.0,15.0,0.5147540983606558,1.3151911815363417,-2175.0,24.580134045418095
mlp,gwo,3,304,4680.0,15.394736842105264,0.5164473684210527,1.3247744621790423,-2175.0,25.51285616304871
mlp,gwo,4,304,4680.0,15.394736842105264,0.5164473684210527,1.3247744621790423,-2175.0,25.51285616304871
mlp,gwo,5,305,4510.0,14.78688524590164,0.5147540983606558,1.3093278463648834,-2175.0,23.590170676832937
rf,gwo,1,302,5070.0,16.788079470198674,0.5198675496688742,1.3549177458872943,-2175.0,28.419979031830373
rf,gwo,2,304,5865.0,19.292763157894736,0.5230263157894737,1.4150743099787686,-2175.0,41.21229324688657
rf,gwo,3,304,5865.0,19.292763157894736,0.5296052631578947,1.4141949152542372,-2175.0,34.46966283747971
rf,gwo,4,301,5480.0,18.205980066445182,0.5282392026578073,1.3874160480735243,-2445.0,29.433205747538917
rf,gwo,5,301,4690.0,15.581395348837209,0.521594684385382,1.3285464098073556,-2445.0,22.014652338952267
cnn,de,1,114,1430.0,12.543859649122806,0.5175438596491229,1.2369511184755593,-1360.0,13.084594688413997
cnn,de,2,197,2540.0,12.893401015228426,0.48223350253807107,1.2373831775700934,-1855.0,44.059046811998904
cnn,de,3,70,265.0,3.7857142857142856,0.4857142857142857,1.0695538057742782,-895.0,4.06904827741549
svm,gwo,1,307,4095.0,13.338762214983714,0.504885993485342,1.2659954530691784,-2710.0,18.937636531843395
svm,gwo,2,299,4880.0,16.321070234113712,0.5284280936454849,1.3397145840584754,-2690.0,30.060598995466744
svm,gwo,3,300,4600.0,15.333333333333334,0.52,1.3201113430758524,-2175.0,27.906104545194474
