model_type,optimizer,seed,backend,accuracy,balanced_accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
mlp,gwo,1,tensorflow,0.5350877192982456,0.5336901870916988,0.5330188679245284,0.653179190751445,0.587012987012987,0.06940011908544907,0.538666757875295,0.5294947244765168
mlp,gwo,2,tensorflow,0.5350877192982456,0.5336901870916988,0.5330188679245284,0.653179190751445,0.587012987012987,0.06940011908544907,0.5382221158121558,0.5290856560495385
mlp,gwo,3,tensorflow,0.5321637426900585,0.5308000136812943,0.5308056872037915,0.6473988439306358,0.5833333333333334,0.06335347385080228,0.5376064575708862,0.5285355746800058
mlp,gwo,4,tensorflow,0.5350877192982456,0.5336901870916988,0.5330188679245284,0.653179190751445,0.587012987012987,0.06940011908544907,0.5380510996340253,0.5289064487287531
mlp,gwo,5,tensorflow,0.5350877192982456,0.5336901870916988,0.5330188679245284,0.653179190751445,0.587012987012987,0.06940011908544907,0.5392482128809385,0.5301229854379648
rf,gwo,1,scikit-learn,0.543859649122807,0.5423607073229127,0.5395348837209303,0.6705202312138728,0.5979381443298969,0.08766747784642952,0.5215309368266238,0.5061254287331449
rf,gwo,2,scikit-learn,0.5380116959064327,0.536375141088347,0.5342465753424658,0.6763005780346821,0.5969387755102041,0.07579254196749599,0.5211204979991108,0.5046676141701145
rf,gwo,3,scikit-learn,0.5409356725146199,0.5394021274412559,0.5370370370370371,0.6705202312138728,0.596401028277635,0.08167777955229684,0.5194787426890584,0.5015716547096678
rf,gwo,4,scikit-learn,0.5467836257309941,0.5451824742620652,0.5412844036697247,0.6820809248554913,0.6035805626598465,0.09397824272973097,0.5186236617984061,0.5019110363109623
rf,gwo,5,scikit-learn,0.5409356725146199,0.5393337209700038,0.536697247706422,0.6763005780346821,0.59846547314578,0.08181300464738124,0.5192735232753019,0.5026988582701624
cnn,de,1,tensorflow,0.52046783625731,0.5188288812121626,0.5205479452054794,0.6589595375722543,0.5816326530612245,0.039232528775840665,0.5161952320689537,0.5257044603976837
cnn,de,2,tensorflow,0.52046783625731,0.5184184423846496,0.5194805194805194,0.6936416184971098,0.594059405940594,0.03933524142834376,0.5187604747409106,0.5151796659672608
cnn,de,3,tensorflow,0.5175438596491229,0.516280740158019,0.5192307692307693,0.6242774566473989,0.5669291338582677,0.03334928121103831,0.5297226117590724,0.5522505777781291
svm,gwo,1,scikit-learn,0.5233918128654971,0.5218558675650716,0.5231481481481481,0.653179190751445,0.5809768637532133,0.045305643345414655,0.5443102917535999,0.529950178696766
svm,gwo,2,scikit-learn,0.5292397660818714,0.5276362143858808,0.5275229357798165,0.6647398843930635,0.5882352941176471,0.05748252848268178,0.5454047952936347,0.5312956476521405
svm,gwo,3,scikit-learn,0.5380116959064327,0.5361699216745904,0.5333333333333333,0.6936416184971098,0.6030150753768844,0.07623594321781725,0.5390771967028082,0.5282284053199007
