experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,mean_trade_points_mean,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3,24926.666666666668,4673.246551738239,8.275785745905269,0.4852810978308986,1.4458677951299164,-2596.6666666666665,8.92703062034933
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3,25616.666666666668,815.9248331392629,8.504869411243913,0.48317839752102704,1.4577883715725382,-2698.3333333333335,9.234205473013427
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3,3436.6666666666665,39894.42609354512,1.1409915891987605,0.4435590969455512,1.163833320969524,-15926.666666666666,3.9139238261217737
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,3,23136.666666666668,2519.7685078858603,7.68149623727313,0.47786631252766715,1.4046462349111841,-2658.3333333333335,9.082677871679735
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,3,22730.0,4498.710926476606,7.546480743691899,0.48705179282868527,1.398753234503675,-6076.666666666667,7.172748353397233
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,de,3,28310.0,737.4957626996917,9.399070385126162,0.4876051350154936,1.5192631537599415,-2096.6666666666665,13.482289623698831
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,ga,3,26183.333333333332,551.0293398117135,8.693005754758744,0.48218238158477206,1.4702512661555325,-2181.6666666666665,11.928321817165555
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,gwo,3,28276.666666666668,404.63975747982767,9.388003541389994,0.48716246126604695,1.518355325037407,-2115.0,13.524460101310575
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,pso,3,27846.666666666668,299.3882651897583,9.245241257193449,0.4863877822045153,1.5083031836265404,-2078.3333333333335,13.070778980603464
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,random_search,3,-66.66666666666667,45056.58701381335,-0.02213368747233287,0.4494245241257193,1.1300302114304286,-19041.666666666668,1.102249533940455
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,3,28136.666666666668,1939.3383751510037,9.341522797698097,0.4857237715803453,1.5152761300236517,-2075.0,13.11600234908803
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,3,24936.666666666668,994.8534230394611,8.279105799026118,0.4762062859672422,1.4422710790171964,-2116.6666666666665,11.961890055735752
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,3,25356.666666666668,421.584313433663,8.418548030101816,0.47830898627711377,1.4514652222596804,-2228.3333333333335,12.08214195497031
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,3,27783.333333333332,1698.2736332326813,9.224214254094733,0.485502434705622,1.5069798660506117,-2121.6666666666665,12.875466672138083
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,3,26113.333333333332,930.447920806605,8.669765382912793,0.4779769809650288,1.4682771528204297,-2088.3333333333335,12.457408538577555
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,3,-80.0,42575.33205977377,-0.02656042496679974,0.43382027445772464,1.117281875388563,-18125.0,5.652639107372241
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,3,25983.333333333332,195.02136635080052,8.626604692341745,0.47875166002656044,1.4654631223248573,-2328.3333333333335,12.568815925824483
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,3,38416.666666666664,15700.57429947495,12.754537405931828,0.515161575918548,1.8406670200965518,-2048.3333333333335,14.312513608131008
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,3,24953.333333333332,11962.802068634812,8.284639220894201,0.49358123063302345,1.4624842380959586,-6308.333333333333,8.8200282123668
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,3,-4190.0,42991.309586938616,-1.391102257636123,0.4302788844621514,1.0525720651291184,-20306.666666666668,1.2447188547518486
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,3,25856.666666666668,2025.051439675875,8.584550686144311,0.48240371845949537,1.4634842556422532,-2498.3333333333335,9.539576206366172
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,3,25816.666666666668,318.9566323708178,8.571270473660912,0.4816290393979637,1.4619070740021785,-2551.6666666666665,9.309932702920003
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,3,30003.333333333332,487.47649515985165,9.961266046923418,0.49424524125719344,1.5601008557877873,-2461.6666666666665,10.300072611855514
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,3,26250.0,257.0992026436488,8.715139442231076,0.48284639220894204,1.4716516715034114,-2478.3333333333335,9.63327969636869
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,3,26376.666666666668,1590.0419281683528,8.757193448428508,0.484174413457282,1.4750100126389454,-2478.3333333333335,9.744259157323452
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,3,28410.0,86.60254037844386,9.43227091633466,0.48804780876494025,1.5215248285377718,-2096.6666666666665,13.586601655196857
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,3,27086.666666666668,1453.3180427330196,8.992917220008854,0.484506418769367,1.4910537612737518,-2156.6666666666665,12.462712406508496
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,3,28016.666666666668,588.2459802950915,9.301682160247898,0.48683045595396196,1.5123163427612045,-2115.0,13.427376620140455
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,3,28333.333333333332,49.32882862316226,9.406817175741478,0.48815847720230193,1.5197667985392176,-2096.6666666666665,13.646113247595062
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,3,26840.0,1535.8059773291677,8.911022576361221,0.485834440017707,1.485736359772872,-2241.6666666666665,12.231117851094405
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,3,21703.333333333332,1415.9919962109009,7.205621956617972,0.463368747233289,1.3730603094024705,-1881.6666666666667,11.36245342879216
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,3,22100.0,1839.2661580097645,7.337317397078354,0.46580345285524566,1.3816357116817803,-1905.0,12.127898718376871
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,3,22256.666666666668,691.1825615084141,7.389331562638335,0.46691013722886227,1.384529718080137,-1666.6666666666667,12.087108607571613
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,3,22440.0,1468.5707337408028,7.450199203187251,0.46215139442231074,1.3880024178547057,-1981.6666666666667,12.426953974444045
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,3,21363.333333333332,1827.4116485710967,7.0927401505090755,0.4601593625498008,1.3659986129750508,-1893.3333333333333,11.76950776392634
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,3,6116.666666666667,16050.300101036533,2.0307658255865424,0.4466578131916778,1.1151255579096073,-5800.0,2.3111093429658465
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,3,28000.0,13954.658720298394,9.296148738379815,0.5079681274900398,1.5453492968488842,-4438.333333333333,8.433512679738847
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,3,11290.0,11080.311367466169,3.7483399734395753,0.4531872509960159,1.1897246709392848,-4116.666666666667,4.857424622087961
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,3,716.6666666666666,6604.5615549658805,0.23793714032757865,0.4339309428950863,1.0134685411640378,-7273.333333333333,0.4885908122054867
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,3,11076.666666666666,1515.2667531934212,3.6775121735281098,0.4551792828685259,1.17422899802952,-4578.333333333333,4.824840257033366
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,3,25533.333333333332,580.2011145571274,8.477202301903498,0.4807436918990704,1.4554711354537304,-2541.6666666666665,9.20732961081877
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,3,21886.666666666668,3357.2955385746623,7.266489597166888,0.4745462594068172,1.37901919131121,-2695.0,9.092358868035404
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,gwo,3,25536.666666666668,582.2656896411918,8.478308986277113,0.4816290393979637,1.455748357386085,-2501.6666666666665,9.172847710058091
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,pso,3,26636.666666666668,511.89191567491446,8.843514829570607,0.48339973439575035,1.4803535703050423,-2501.6666666666665,9.48006299538724
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,random_search,3,23800.0,1281.288414058287,7.901726427622841,0.47897299690128375,1.4181494905629102,-2575.0,9.394340299806336
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,de,3,27840.0,1117.4524598388962,9.243027888446216,0.48649845064187697,1.508341551021543,-2078.3333333333335,13.25064619715229
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,ga,3,27660.0,455.08241011931017,9.183266932270916,0.48649845064187697,1.5040558220359348,-2063.3333333333335,13.114003525546659
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,gwo,3,28406.666666666668,327.1594921950654,9.431164231961043,0.48804780876494025,1.5214311198748023,-2060.0,13.504970174972373
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,pso,3,28036.666666666668,659.5705673643519,9.308322266489597,0.4872731297034086,1.512824779633777,-2078.3333333333335,13.26137162150579
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,random_search,3,27380.0,782.5599018605541,9.090305444887118,0.4853917662682603,1.4975624224605848,-2081.6666666666665,12.664801302671775
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,de,3,22640.0,405.09258201058185,7.51660026560425,0.4652501106684373,1.3923493747260285,-1943.3333333333333,12.495253218394746
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,ga,3,23226.666666666668,650.6407098647707,7.711376715360779,0.465028773793714,1.4045572699936801,-2001.6666666666667,12.096383108137703
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,gwo,3,21493.333333333332,1086.9375940381005,7.135900841080125,0.465360779105799,1.36892470712349,-2025.0,11.865770561363194
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,pso,3,21333.333333333332,1019.0845565179233,7.082779991146524,0.46193005754758737,1.365362127829437,-1925.0,11.993335498352037
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,random_search,3,22253.333333333332,1666.4433183679948,7.388224878264719,0.4659141212926073,1.3846950291685642,-1976.6666666666667,12.17268497807846
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,de,3,14506.666666666666,14741.717448565258,4.816290393979638,0.46425409473218243,1.2562024298314043,-4451.666666666667,7.1809748470131565
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,ga,3,16470.0,2650.7168841654893,5.468127490039841,0.46646746347941564,1.2715978580546607,-3896.6666666666665,8.100177195650035
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,gwo,3,-8500.0,5873.167799407744,-2.8220451527224437,0.42784417884019477,0.8869909420755496,-11963.333333333334,-2.8083718604691534
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,pso,3,-1100.0,5775.4740065210235,-0.36520584329349265,0.4355909694555113,0.9867209679963702,-6531.666666666667,-0.48388438305365433
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,random_search,3,12383.333333333334,1058.31627282837,4.111332447985834,0.4578353253652058,1.1966978797941488,-4563.333333333333,5.686880320776541
