date,daily_return_points,experiment,experiment_label,model,optimizer,seed
2024-05-20,-590.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-21,220.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-22,615.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-23,-170.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-24,2645.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-27,115.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-28,4310.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-29,360.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-31,-1120.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-03,1065.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-04,915.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-05,680.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-06,150.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-10,-5.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-12,5815.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-13,1005.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-14,1765.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-18,1045.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-19,715.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-20,1830.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-21,2410.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-24,330.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-25,-280.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-26,-1095.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-27,2415.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-06-28,600.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,1
2024-05-20,-400.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-21,150.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-22,485.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-23,120.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-24,2745.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-27,265.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-28,4500.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-29,940.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-31,-560.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-03,1265.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-04,835.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-05,790.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-06,120.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-10,-425.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-12,7355.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-13,1155.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-14,1535.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-18,955.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
