experiment,experiment_label,model,n,reported_metric_mean,accuracy_mean,mcc_mean,f1_mean,auc_roc_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,15,0.2243587558822561,0.6133244798583444,0.2243587558822561,0.5969266100201386,0.6322139618927058
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,15,0.2605220234246349,0.6304116865869853,0.2605220234246349,0.6385951263613019,0.6674429416084633
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,15,0.2893051446175375,0.6447985834440018,0.2893051446175375,0.664499248713025,0.6856891151106691
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,15,0.2135840791685179,0.6035635236830456,0.2135840791685179,0.6016597561749174,0.6159536637416132
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,15,0.6352589641434263,0.6352589641434263,0.2707208211008345,0.6394225568211988,0.6759027491386199
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,15,0.650730411686587,0.650730411686587,0.3011949554070965,0.6578600399135083,0.6926668563283411
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,15,0.6044710048694113,0.6044710048694113,0.208095449939596,0.6244226513732802,0.639683956019075
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,15,0.5784860557768925,0.5784860557768925,0.15939203247963268,0.6002693757908546,0.6109358627437574
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,15,0.6338866755201417,0.6338866755201417,0.2673363580897761,0.6455567551758142,0.6740867165520978
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,15,0.6497786631252767,0.6497786631252767,0.2991907188159344,0.6582099443929337,0.6936469955164862
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,15,0.6065294378043382,0.6065294378043382,0.21223447274073998,0.6265493598686371,0.6427840716538866
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,15,0.5889110225763612,0.5889110225763612,0.17729584397581785,0.6282330558149987,0.6205789091807277
