fitness_mode_label,metric,score
Accuracy Holdout,Accuracy,0.6517264276228419
Accuracy-CV,Accuracy,0.6515050907481186
MCC/F1,Accuracy,0.6525011066843737
Accuracy Holdout,MCC,0.30313195978348645
Accuracy-CV,MCC,0.30276263957050914
MCC/F1,MCC,0.30466799293839375
Accuracy Holdout,F1,0.6591570809584762
Accuracy-CV,F1,0.6579753126751083
MCC/F1,F1,0.6600995025421948
Accuracy Holdout,AUC ROC,0.6942533982887812
Accuracy-CV,AUC ROC,0.6948838395756284
MCC/F1,AUC ROC,0.69429302140604
Accuracy Holdout,AUC PR,0.6745364097166425
Accuracy-CV,AUC PR,0.676393405317912
MCC/F1,AUC PR,0.6737571187842724
